职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
云端运维产品经理（无人车）,餐饮平台,北京市,全职,2年,本科,20K-50K,计算机相关专业出身,NULL,NULL,"工作职责：
1.负责配送无人车基础运维平台、运营应用等产品的产品策划工作；（包括并不仅限于CMDB/作业平台/监控系统等相关运维产品）；
2.通过对项目的跟进、用户调研等方式明确了解客户的需求；
3.主导运营支撑系统类产品的设计工作，协调组织各方资源，保证产品的实现和交付；
4.配合部分产品/活动运营等工作。
职位要求：
1.大学本科以上学历，计算机相关专业出身，具有2年以上互联网或IT公司的技术运营工作经验；
2.有运维工作背景，了解并具备DevOps能力，有使用Python/PHP等编程语言开发过运营支撑系统的经验更佳；
3.熟练使用Office、Axure、PhotoShop等相关软件，且有较深厚的产品文档撰写功底和交互设计能力；
4.思维敏捷，有较强的行业敏感度，知识面广，对运维技术行业的动态和趋势有充分了解；
5.擅长对用户及企业需求的产品理解和表达，有较强的数据和用户行为分析能力；
6.较强的沟通、执行力和跨部门协作的能力，富有创新精神，注重团队协作意识；
7.具有独特的创造性思维和较强的业务规划能力，并能承受一定的工作抗压能力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232386458053037420
规划控制算法研究员/专家,餐饮平台,北京市,全职,5年,硕士,35K-65K,NULL,NULL,NULL,"工作职责
• 融合多传感器感知和定位数据，研发真实道路和交通条件下的无人驾驶规划算法
• 开发满足复杂场景和任务要求的无人驾驶规划算法
• 开发无人驾驶系统纵横向控制算法

职位要求
• 具有机器人或无人驾驶规划工作经历
• 具有轮式车辆纵横向控制工作经历
• 精通控制理论，掌握pid，mpc，模糊控制等多种控制方法
• 极度重视发现问题和解决问题能力。
优先考虑
• 具有无人车系统体系架构设计者
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181321882422919279
美团出行-高级商业分析师,美团出行,北京市,全职,3年,本科,20K-30K,NULL,NULL,NULL,"工作职责：
1、负责出行相关行业的研究、分析和战略落地推进，对市场环境、现有业务、竞争对手进行分析，定期输出研究报告，对业务战略、发展规划等方面提供决策支持和参考；
2、结合业务发展战略，制定相应的经营规划策略，对核心经营指标、异常数据进行监控分析，复盘前期经营情况，预判市场趋势，并给出优化建议；
3、熟悉BI数据方案体系，建立全面的业务分析指标；
4、通过商业数据&竞品数据分析挖掘和研究用户需求，产出分析成果为产品改进提供数据支持，帮助完成产品优化；
5、分析用户行为和用户特征，发现业务痛点，研究解决方案，为管理决策提供支持。
任职要求：
1、重点院校本科及以上学历，数学、统计学、经济类、金融类相关专业优先；
2、3年以上咨询或互联网行业工作经验，具备行业研究或经营管理咨询经历者优先；
3、能熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；
4、具备优秀的商业分析能力、敏锐的数据洞察力、结构化思维能力； 
5、工作计划性强，考虑问题全面、认真细致，对工作结果交付有高度责任心；
6、具备优秀的逻辑思维能力、表达能力、沟通协调能力、抗压能力和团队精神，能够与各部门有效合作。 ",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=260322130181099666
数据开发工程师,金融服务平台,北京市,全职,3年,本科,25K-45K,NULL,NULL,NULL,"1. 工作职责：
1）智能支付的数据模型设计与架构设计，离线数仓和实时数据体系的建设和不断迭代；
2）智能支付数据产品需求的研发、项目管理、代码review及相关团队规范的制定与优化；
3）c端产品流量数据分析体系的建设；
4）商家画像、商机优选等数据应用的建设；
5）商家实时经营情况等场景建设；
2. 任职要求：
1）深入理解数据仓库建设和业务建模理论，熟悉ETL研发；
2）熟悉Hadoop架构和工作原理，精通Hive、MR，有HQL优化经验；
3）精通kylin相关使用及性能优化；
4）精通Storm或spark streaming开发，有实际项目研发经验；
5）掌握数据结构与算法，有java或python研发经验；理解基本的设计模式，能将业务需求快速理解成技术需求；
6）熟练使用至少一种RDBMS，并熟悉其原理；
7）有其他数据研发相关工具经验优先，例如HBase、ES、Tair/Redis；
3. 其他要求：
1）期望长期从事数据研发相关工作，关注业务，并能结合业务从数据角度思考和推动业务发展；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=266814305299470783
美团出行策略算法高级工程师/技术专家 -,美团出行,北京市,全职,2年,本科,25K-50K,计算机相关专业硕士以上学历,NULL,NULL,"岗位职责：
1. 负责美团出行语音识别/图像处理/智能QA/NLP等技术研发，设计和优化智能客服/智能预警分析/智能判责的核心策略算法，提升用户满意度和运营效率；
2. 负责语料获取和挖掘，发挥数据价值；
工作要求：
1. 熟悉NLP/文本分类/Query分析/对话分析等相关技术，具备离线建模挖掘和在线实现优化能力；
2. 优秀的业务理解和问题分析能力，对复杂业务场景有好奇心，对挑战性问题充满激情；
3. 编程基础扎实，计算机相关专业硕士以上学历",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=267082559447439929
分布式数据抓取高级工程师,美团出行,北京市,全职,2年,本科,20K-40K,NULL,NULL,NULL,"岗位职责:
1. 负责搭建完善统一的抓取服务平台，包括构建抓取、解析、存储、IP代理池、清洗、挖掘等模块，为业务提供静态信息获取、大型事件收集、外部数据抓取等服务
2. 提升爬虫抓取效率和质量，研究高效的数据抓取解决方案。
任职要求：
1. 两年以上互联网工作经验，精通java语言
2. 对数据结构和算法设计有较为深刻的理解 
3. 对网络通信，TCP、HTTP协议有深入的理解
4. 对高并发、分布式系统服务有一定构建经验
5. 具有良好的沟通能力，和良好的团队合作精神。
优先：
1. 有大型爬虫系统研发经验者优先；
2. 有安全攻防背景的优先
3. 有android逆向经验者优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=267086947285015107
资深产品运营（数据运营）,点评平台及综合事业群,上海市,全职,2年,本科,15K-20K,NULL,NULL,NULL,"岗位职责： 
1、整体负责新美大垂直业务线数据运营工作，制定数据生产、处理各环节的标准规范，负责数据的基础信息运营、类目运营、标签运营等工作；
2、通过运营工作思考与数据分析，制定产品运营优化策略，能独立对接各团队，协调资源，并对执行结果进行监控分析，不断优化迭代数据的质量；
岗位要求：
1、本科及以上学历，2年及以上数据或搜索运营相关工作经验，熟练掌握日常工具的excel、ppt，会SQL；
2、善于沟通和表达，良好的团队协作能力，结果导向；
3、独立思考，善于在日常运营中发现既有流程的问题，并协调资源进行改善；
4、态度踏实，做事细致，思维缜密，抗压能力强，且有强烈的责任心。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=267085000809192000
资深数据产品经理,点评平台及综合事业群,上海市,全职,3年,本科,18K-25K,NULL,NULL,NULL,"岗位职责： 
1、对数据的准确度和精细化负责，深入理解业务和用户需求，搭建完整数据生态体系，规划产品整体方向；
2、对行业情况、竞品相关、业务场景、用户需求进行综合数据深挖分析，发现其应用价值，系统化制定数据及流程体系优化策略；
3、对接多个业务、运营、开发团队，协调资源，有效快速推进方案落地执行；
4、主动思考发现运营平台应用过程中的问题，制定优化策略，提升运营效率，并对执行结果进行监控分析，持续迭代优化。 
岗位要求：
1、3年及以上数据产品相关工作经验，对于数据平台搭建、数据体系建设有成熟的思路；
2、具备较强的逻辑思维能力和数据分析能力，熟练掌握日常工具的excel、ppt、脑图、会SQL加分；
3、善于沟通和表达，良好的团队协作能力，结果导向；
4、踏实，为人正直，细致，思维缜密，抗压能力强，且有强烈的责任心；
5、懂生活，爱生活；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=267077255217355313
数据产品经理（综合行业产品部）,点评平台及综合事业群,上海市,全职,5年,本科,20K-30K,NULL,NULL,NULL,"岗位职责
1、深入理解业务，构建全面、准确的业务指标体系，能及时反映业务发展并定位业务问题；
2.、沉淀分析思路与框架,，提炼数据产品需求，并推动数据产品的迭代；帮助部门提升数据化运营能力
3、通过简单有效的数据产品，帮助客户提升生意

岗位要求
1、本科或以上学历，3年以上的数据产品设计经验；
2、良好的业务理解能力、逻辑思维、沟通能力
3、对数据敏感，深入理解指标与维度，具备良好的数据整合与产品化的能力
4、有“用户画像”类产品建设经验者优先考虑",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/7,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=247301722324148137
BI分析师,外卖配送事业群,北京市,全职,3年,本科,20K-35K,计算机、统计、数学等相关专业大学本科以上学历,NULL,NULL,"工作职责：
1.深入了解外卖业务体系，优化风控分析监控体系
2.定期数据监控及波动分析，及时发现内外部潜在问题，并提供策略改进建议
3.通过数据分析，调研等手段对风控业务有直接推动作用的落地措施
4.通过对风控策略的了解，及时跟踪分析风控效果及影响
任职要求：
1.计算机、统计、数学等相关专业大学本科以上学历，3年以上数据分析或挖掘经验，有互联网大数据建模分析经验者优先
2.具有较强的数据洞察力，优秀的逻辑思维能力及展现能力
3.良好的沟通能力，推动力
4.精通sql,excel,熟悉Tableau,SAS,SPSS，R等分析统计软件
5.具备数据挖掘、概率统计基础理论知识；逻辑分析能力突出，对数据有高度敏感性，善于从数据中发现隐藏的规律
6.有互联网风控背景优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/6,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=263816087536014625
