职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
无人配送-云端数据产品经理,餐饮平台,北京市,全职,3年,本科,25K-40K,NULL,NULL,NULL,"云端数据平台产品经理
工作地点：北京
职位描述
1. 整体负责配送无人车大数据平台产品设计与规划； 
2. 负责数据管理平台功能完善，包括数据质量体系、权限体系搭建； 
3. 负责BI&数据可视化平台功能完善，包括自助报表、自助Dashboard搭建； 
4. 负责团队数据驱动氛围建设，包括数据能力培训体系推广，自助数据功能推广； 
5. 负责团队指标集中化&可视化管理，梳理指标标准化定义。
任职要求
1. 本科学历以上，4年及以上互联网产品经理岗位工作经验。； 
2. 有大数据产品团队经验，参与过大型互联网公司数据治理项目经验； 
3. 熟悉数据仓库、商业智能基本理论，有数据分析系统使用经验； 
4. 较强的逻辑思考能力和归纳总结能力，具备产品&业务规划能力； 
5. 有较强的沟通协调能力和主动性，为结果负责；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/26,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231211652725131921
Web前端工程师（无人车）,餐饮平台,北京市,全职,5年,本科,20K-35K,NULL,NULL,NULL,"工作职责

负责无人配送车数据平台、运维平台等系统的前端开发工作；
负责自研组件库（vue2.0）建设，优化；
负责前端工程化体系建设，逐步提升开发效率，保障产品工程质量；
与产品经理、后端工程师紧密协同，负责自动驾驶云端平台各产品易用性改进、界面技术优化和网站性能优化，为用户呈现最好的交互体验；
指导初级工程师。

职位要求：
扎实的计算机基础知识，熟悉常用数据结构与算法，并能在业务开发中灵活使用；
熟悉JS/CSS3/H5等常用技术，能熟练写出符合W3C标准，兼容主流浏览器的代码；
熟练使用主流前端框架至少一种，有实际项目经验，能够深刻剖析框架部分实现原理；
对前端工程化有个人独到的见解，并有实际经验；
对网站性能优化，浏览器端原理有个人独到见解；
对HTTP有较深刻了解，熟悉Restful方式前后端交互流程；
熟悉用户交互设计理论，热衷分析并改善产品的用户体验；
能独立完成一个复杂模块或项目的开发工作，并与团队成员较好沟通协作；

具有以下资格优先：
熟悉前后端整体开发流程，能够从项目整体考虑设计方案，熟悉至少一种后端语言，Java/Python均可；
熟练使用AngularJS/Vue框架中至少一种；
熟练使用NodeJS；
对组件化开发有深入理解；
熟悉Linux，熟悉常用命令，了解Shell，Awk，Sed等使用；
熟悉团队开发流程，熟练使用git工具进行代码管理；
自我驱动，性格活泼开朗，活跃组内氛围；
有开源作品或技术博客",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232412434807967142
零售-数据开发专家,零售事业部,北京市,全职,3年,本科,25K-50K,NULL,NULL,NULL,"工作职责
1、参与打造数据中内容的规划、设计、开发和优化工作，实现高质量数据的互通与共享；
2、参与数据模型体系构建及数据主题设计和开发，搭建离线、实时数据公共层；
3、参与数据产品与应用的数据研发，发掘数据商业价值，打造极致体验的数据产品； 
4、深入理解数据产品的使用场景，为业务方在可用性、成本上做更好的设计做参考。 
任职要求
1、熟悉数据仓库建模理论，3年以上相关领域实践经验；
2、熟悉Hadoop、Hive、Spark等大数据技术；
3、熟练使用Python/Java或其他语言进行复杂业务逻辑的数据处理工作，具备海量数据处理以及性能优化的能力；
4、对MySQL、Redis、HBase等数据库有一定的了解和使用经验；
5、对olap，多维分析及kylin熟悉的更好；
6、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力；
7、对新技术，新事物有很好的探索和求知欲。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262496102448501839
推荐算法开发（点评平台）,点评平台及综合事业群,上海市,全职,3年,硕士,25K-50K,NULL,NULL,NULL,"岗位职责：
1.负责点评推荐平台的开发和算法优化工作
2.对用户行为进行建模，搭建基于用户兴趣主题的泛内容推荐引擎
3.研究和实践业界最前沿的算法或者技术框架，并应用在实际业务

任职要求：
1.精通JAVA/Python，有良好的编程习惯，对数据结构和算法设计具有深刻的理解
 2.熟练使用一门开发语言，有Mapreduce/Hadoop/Spark等海量处理经验优先
 3.对数据敏感，数学功底扎实，善于利用算法解决实际问题，有推荐系统相关实践背景优先
 4.具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题
 5.有强烈的上进心和求知欲，具体强烈的责任心、良好的团队合作精神，善于学习新事物",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262451414634992613
数据挖掘/机器学习算法工程师,美团平台及酒旅事业群,北京市,全职,3年,本科,20K-40K,重点大学计算机、数学、统计相关专业本科以上学历,NULL,NULL,"【岗位职责】
岗位职责（包括但不限于）：
1. 负责应用各种机器学习算法对酒店旅游业务进行建模，如预测模型；
2. 通过各种数据挖掘算法对美团业务多源数据进行挖掘，实现美团商家/用户体验优化、供应链优化、经营/运营效率提升； 
3. 输出结果直接参与商业决策，最优化营收收益。

【岗位要求】
1. 熟悉Linux环境，精通Java、C++、Python编程中的至少一种；
2. 熟悉常用的数据挖掘技术，如决策树、聚类、逻辑回归、神经网络等；
3. 熟悉Hadoop、Spark、Hive等大数据处理工具，有海量数据挖掘项目经验者优先；
4. 重点大学计算机、数学、统计相关专业本科以上学历，相关工作经验2年以上；
5. 良好的沟通能力和合作精神，逻辑思维能力优秀，热爱算法，热爱思考； 
6. 在神经网络、用户画像、时序挖掘、自然语言处理等方向有深入研究者优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262445239839364051
数据挖掘风控算法工程师,美团平台及酒旅事业群,北京市,全职,3年,本科,20K-40K,重点大学计算机、数学、统计相关专业本科以上学历,NULL,NULL,"【岗位职责】
岗位职责（包括但不限于）：
1. 深入理解业务，参与风控策略分析及开发上线，识别交易中的恶意欺诈用户及商家，确保正常经营秩序；
2. 构建基于机器学习的风控策略模型，并通过多种数据挖掘方法不断完善；
3. 参与基础数据整理及特征工程建设，用户商户欺诈信用评级等，为用户增长和商户运营提供数据支撑。
【岗位要求】
1. 熟悉Linux环境，精通Java、C++、Python编程中的至少一种；
2. 熟悉常用的数据挖掘技术，如决策树、聚类、逻辑回归、神经网络等；
3. 熟悉Hadoop、Spark、Hive等大数据处理工具，有海量数据挖掘项目经验者优先；
4. 重点大学计算机、数学、统计相关专业本科以上学历，相关工作经验2年以上；
5. 良好的沟通能力和合作精神，逻辑思维能力优秀，热爱算法，热爱思考； 
6. 在神经网络、图/网络挖掘、时序挖掘、自然语言处理等方向有深入研究者优先；
7. 有反作弊、风控相关经验优先。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262443991090205644
数据分析师,点评平台及综合事业群,上海市,全职,3年,本科,12K-20K,统计学、数学、信息管理、计算机等专业,NULL,NULL,"岗位职责：
1、按业务策略搭建报表体系，为业务部门提供数据分析报告
2、负责系统报表和数据项目的需求分析、跟进、测试和上线，提升业务部门数据化管理水平
3、通过常规报表监控和深入数据分析，发现业务问题并提供解决方案
4、负责业务项目专题分析，提供有效的决策建议，并推动方案落地和后续监控

职业：
1、全日制本科或以上学历，统计学、数学、信息管理、计算机等专业，三年以上数据分析相关工作经验
2、出色的逻辑思维能力，了解常用的数据分析方法并能在实际工作中灵活运用，具备分析问题和解决问题的能力，能独立搭建业务模型
3、精通Excel数据处理，熟悉数据库知识，VBA、SQL熟练者优先
4、工作态度严谨认真，自驱力强并拥有优秀的沟通能力和团队协作精神",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262429656552117306
高级财务分析（B2B）,财务平台,北京市,全职,5年,本科,25K-35K,NULL,NULL,NULL,"工作内容：
1. 负责财务预算与分析工作，包括预算、结算、账务处理、财务分析、以及风险控制等管理工作
2. 全面深入了解业务，对业务有独立的理解和判断，为业务提供全方位的财务支持，成为业务全面财务合作伙伴
3. 发掘流程系统风险点，建立完善相应流程，推进系统优化
4. 对业务关键指标、重点项目可以进行独立评估，提供财务建议，帮助业务决策

任职要求：
大型企业5年以上工作经验
有相关互联网公司/食材供应链行业经验者优先考虑
具备全面的财务专业知识
对数据敏感性，善于发现、并推进解决问题
具备较强沟通能力，能够及时推进与影响业务
具备较强学习能力，可以适应业务的快速变化",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262383528109282206
算法开发工程师（搜索技术中心）,点评平台及综合事业群,上海市,全职,3年,硕士,20K-40K,NULL,NULL,NULL,"工作职责：
－你将致力于通过机器学习、数据挖掘、实时数据流分析等前沿技术手段对大数据进行分析，挖掘各类用户特征，为用户提供最佳的个性化搜索/推荐体验
－你将从多个角度对用户进行建模，并不断优化机器学习模型来优化点评搜索的用户体验

职位要求：
－有三年以上相关工作经验，机器学习排序有一定的理解和应用经验
－精通JAVA/Python，有良好的编程习惯－对数据结构和算法设计具有深刻的理解
－对数据敏感，数学功底扎实，有统计相关背景优先
－有MapReduce或日志挖掘开发经验者优先
－具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题
－有强烈的上进心和求知欲，善于学习新事物",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=180132105661104247
大数据开发／机器学习（平台运营研发组）,点评平台及综合事业群,上海市,全职,3年,本科,18K-36K,NULL,NULL,NULL,"岗位职责：
1. 负责数据仓库的建模及相应的ETL开发；参与数据仓库系统架构设计和开发实现；
2. 负责数据规范制定、落实，对数据质量进行跟踪、审核和验证；
3. 数据相关配置、关联关系和生命周期管理，提供数据准确的描述；
4. 保证业务数据的质量和效率，为进一步数据分析、用户画像和数据挖掘提供规范、准确的数据支持。

岗位要求：
1.大学本科及以上学历；有互联网产品相关数据处理工作经验优先；
2.精通SQL语言，能高效处理海量多维数据；
3.熟悉Java，Python、Shell等一种或多种开发语言；
4.熟悉Hadoop，Hive，Hbase，Spark等大数据产品工具；
5.工作细致、责任心强，具备较强的学习能力及理解能力；
6.具有优秀的沟通协调能力和团队合作精神，抗压能力强。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=170088869890539572
资深推荐算法工程师,点评平台及综合事业群,上海市,全职,3年,硕士,25K-50K,NULL,NULL,NULL,"岗位职责：
1.负责点评推荐平台的开发和算法优化工作
2.对用户行为进行建模，搭建基于用户兴趣主题的泛内容推荐引擎
3.研究和实践业界最前沿的算法或者技术框架，并应用在实际业务

任职要求：
1.精通JAVA/Python，有良好的编程习惯，对数据结构和算法设计具有深刻的理解
 2.熟练使用一门开发语言，有Mapreduce/Hadoop/Spark等海量处理经验优先
 3.对数据敏感，数学功底扎实，善于利用算法解决实际问题，有推荐系统相关实践背景优先
 4.具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题
 5.有强烈的上进心和求知欲，具体强烈的责任心、良好的团队合作精神，善于学习新事物",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/25,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=203818540703514947
商务合作资深经理/总监-无人车,餐饮平台,北京市,全职,8年,本科,25K-50K,NULL,NULL,NULL,"工作职责：

1. 整合无人配送相关上下游软硬件供应商资源，建设无人配送供应链生态，推动相关行业技术的进展；

2. 人工智能相关的合作项目发起、规划与执行；

3. 拓展对外技术咨询服务与技术合作；

4. 拓展商业地产、办公楼宇、住宅小区等区域的无人配送相关的商务合作；

5. 相关的资源置换、项目策划、合作伙伴维护。

任职要求：

1.本科及以上学历，技术背景者优先；

2.五年及以上专注某一领域，如：政府、商圈等的商务合作工作经验；

3.有广泛商务合作资源并与之保持良好关系；

4.有较强的沟通、谈判能力和一定的数据分析能力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=262035973482812256
深度学习算法研究员/专家-无人车,餐饮平台,北京市,全职,3年,硕士,25K-50K,NULL,NULL,NULL,"工作职责
• 既要让自动驾驶更好的理解周围，又要挑战更多机器学习用于无人驾驶的可能
 
职位要求
• 熟悉机器学习的基本方法 ( 降维、分类、回归、排序等等 )
• 熟悉深度学习原理和基本模型，熟练使用 Caffe ，Tensorflow 或其他常用深度学习工具，并能够灵活的解决实际问题
• 熟悉计算机视觉和图像处理的常用方法 ( 物体检测、跟踪、分割、分类识别等 ) 。学习能力强，读机器学习、计算机视觉领域的论文易如反掌
• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言
• 对计算机架构有深刻的认识，能够开发高性能、实时运行的图像处理软件
• 有发明创造的理想和热情，致力于创造解决实际问题的视觉感知技术
• 尝试将机器学习和深度学习技术应用于非识别领域。
 
优先考虑
• 发表过 CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章
• 熟悉图像识别领域的常见工具如OpenCV等
• 熟悉高性能运算加速工具如 Neon 以及 GPGPU 技术如 GLES，CUDA和OpenCL 等",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181321157122900072
硬件工程师-无人车,餐饮平台,北京市,全职,3年,本科,25K-50K,计算机、电子工程，通信工程等相关专业,NULL,NULL,"工作职责：
• 根据原型设计或产品方案，从事原理图设计、PCB布局，硬件调试，系统联调等工作
• 负责硬件板卡的外委焊接工作，配合软件底层工程师调试等
• 负责新产品的相关设计文档编写

职位要求：
• 本科及以上学历，计算机、电子工程，通信工程等相关专业
• 有3年以上硬件开发经验，熟悉SI/PI/EMC/EMI等基本概念和原理，能设计硬件项目开发方案
• 熟练使用ORCAD，ALLEGRO等软件，能独立完成高速电路的原理图设计，布线规则设置，PCB接插件布局
• 能够独立设计模拟、高速数字电路
• 有嵌入式系统软硬件联合设计经验优先
• 有FPGA开发经验优先
• 有汽车电子开发经验优先

优先考虑:
• 有摄像头芯片经验优先
• 熟悉深度摄像头原理和深度摄像头硬件开发经验优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=191337341734010981
无人配送 -E2E算法研究员,餐饮平台,北京市,全职,3年,本科,25K-70K,计算机，机器人等相关专业博士优先,NULL,NULL,"无人驾驶规划控制算法研究员/专家
工作地点：北京

工作职责
• 融合多传感器感知和定位数据，研发真实道路和交通条件下的无人驾驶规划算法
• 开发满足复杂场景和任务要求的无人驾驶规划算法
• 开发无人驾驶系统纵横向控制算法

职位要求
• 具有机器人或无人驾驶规划工作经历
• 具有轮式车辆纵横向控制工作经历
• 精通控制理论，掌握pid，mpc，模糊控制等多种控制方法
• 极度重视发现问题和解决问题能力。
优先考虑
• 具有无人车系统体系架构设计者
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者

无人驾驶感知定位算法研究员/专家
工作地点：北京
工作职责：
• 负责面向无人驾驶应用的机器视觉，激光雷达，里程计等数据处理和多传感器数据融合，实现多目标跟踪等复杂感知功能
• 负责融合GPS，里程计多种设备的导航定位算法研发
• 具有一定的软件编写和工程经验
职位要求：
• 具有独立的软件开发，数据分析和系统集成能力。熟悉C/C++，Python或者一种编程语言，或者精通MATLAB开发环境
• 具有视觉、里程计和激光雷达等传感器中一项或多项的算法研发经验，有多传感器融合经验
• 具有机器人或无人驾驶感知定位工作经历。
• 熟练掌握 Kalman 滤波和粒子滤波，具有多目标检测与跟踪研发经验
• 熟练掌握3D激光 SLAM 定位方法
• 从事过机器人或无人车定位导航系统研发工作
优先考虑：
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234481215461969915
无人驾驶-规划控制算法,餐饮平台,北京市,全职,3年,本科,25K-80K,计算机，机器人等相关专业博士优先,NULL,NULL,"无人驾驶规划控制算法研究员/专家
工作地点：北京

工作职责
• 融合多传感器感知和定位数据，研发真实道路和交通条件下的无人驾驶规划算法
• 开发满足复杂场景和任务要求的无人驾驶规划算法
• 开发无人驾驶系统纵横向控制算法

职位要求
• 具有机器人或无人驾驶规划工作经历
• 具有轮式车辆纵横向控制工作经历
• 精通控制理论，掌握pid，mpc，模糊控制等多种控制方法
• 极度重视发现问题和解决问题能力。
优先考虑
• 具有无人车系统体系架构设计者
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231211504112552591
无人配送车-高级数据平台工程师java,餐饮平台,北京市,全职,3年,本科,20K-50K,扎实的计算机专业基本功,NULL,NULL,"高级无人车云端JAVA后台工程师
工作地点：北京
工作职责:
负责自动驾驶的云端运营平台的设计及实现；
负责自动驾驶的云端业务需求把控、功能开发；
负责自动驾驶的云端业务系统的架构设计和核心模块设计；

工作要求:
1. 扎实的计算机专业基本功，强大的写码能力；（必须）
2. 熟练掌握 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先；
3. 了解 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握 Spring、myBatis 等框架；
4. 熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制
5. 研究过 http 协议、搜索引擎、缓存、jvm 调优、序列化、nio、RPC 调用框架等，有相应实践经验者优先
6. 参与过大型复杂分布式互联网（特别是电商） 用户端 WEB / API 系统的设计开发者优先
7. 拥有和工作年限相称的广度和（或）深度，有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；
8. 高度的创业心和投入度，既能搞定牛逼的技术难题，同时又热切地关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231215539842501269
无人配送-计算机视觉算法,餐饮平台,北京市,全职,3年,本科,25K-80K,NULL,NULL,NULL,"计算机视觉算法研究员/高级专家
工作地点：北京
工作职责：
• 用视觉识别和理解复杂环境，为视觉主导的无人驾驶系统在感知和定位方提供强有力的支撑
职位要求：
• 有扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的
计算机视觉处理任务
• 有扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用
• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言
• 对计算机结构有深刻的认识，能够开发高性能、实时运行的图像处理软件
• 有发明创造的理想和热情，致力于创造解决实际问题的视觉感知技术
优先考虑：
• 熟悉visual SLAM 等在机器人定位和导航领域中常用的经典方法
• 熟悉stereo ， structured light， ToF 等三维成像原理和方法
• 熟悉高性能运算加速工具如 Neon 以及GPGPU 技术如 GLES， CUDA 和OpenCL 等
• 发表过CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章
• 熟悉图像识别领域的常见工具如 OpenCV 、PCL等",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231211231331797643
无人配送-飞控算法工程师,餐饮平台,北京市,全职,3年,硕士,20K-65K,NULL,NULL,NULL,"飞控算法工程师

 
岗位职责：

1. 负责送餐无人机的导航、制导、控制算法的研究和设计工作；

2. 负责研究控制算法及其仿真系统搭建及应用； 
3. 根据飞行器总体设计方案进行飞行动力学建模、控制环路建模以及算法推导，提升控制系统性能、稳定性和鲁棒性；
4. 负责部分传感器接口及用户协议接口编写
5.结合实际应用场景需求完善飞控系统

职位要求：
1. 扎实的C/C++语言功底，优秀的软件架构能力及良好的编程风格；
2. 对经典与现代控制理论及算法工程应用有深刻理解和项目经验；
3. 掌握飞行力学、控制相关知识，具有扎实的数学基础，掌握PID/EKF/DCM原理及应用，有丰富的参数调试经验；
4. 了解Pixhawk，熟悉PX4/Ardupilot等开源飞控或具有飞控产品开发经验；
5. 精通ARM平台下嵌入式软件应用开发，精通实时操作系统下嵌入式开发以及IPC通讯
6.基础扎实、阳光开朗、精力充沛、敢于挑战，愿意投身业务一线",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=258857272670751817
无人配送车-深度学习/机器学习,餐饮平台,北京市,全职,4年,本科,30K-80K,NULL,NULL,NULL,"机器学习/深度学习算法研究员/专家
工作地点：北京 

工作职责
• 既要让自动驾驶更好的理解周围，又要挑战更多机器学习用于无人驾驶的可能

职位要求
• 熟悉机器学习的基本方法 ( 降维、分类、回归、排序等等 )
• 熟悉深度学习原理和基本模型，熟练使用 Caffe ，Tensorflow 或其他常用深度学习工具，并能够灵活的解决实际问题
• 熟悉计算机视觉和图像处理的常用方法 ( 物体检测、跟踪、分割、分类识别等 ) 。学习能力强，读机器学习、计算机视觉领域的论文易如反掌
• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言
• 对计算机架构有深刻的认识，能够开发高性能、实时运行的图像处理软件
• 有发明创造的理想和热情，致力于创造解决实际问题的视觉感知技术
• 尝试将机器学习和深度学习技术应用于非识别领域。

优先考虑
• 发表过 CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章
• 熟悉图像识别领域的常见工具如OpenCV等
• 熟悉高性能运算加速工具如 Neon 以及 GPGPU 技术如 GLES，CUDA和OpenCL 等",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/24,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231211185932651144
美团外卖广告算法高级工程师,外卖配送事业群,北京市,全职,2年,本科,20K-40K,NULL,NULL,NULL,"岗位职责：
1，广告相关算法的研究及开发工作；
2，CTR/CVR预估算法及系统的研发；
3，O2O广告模式、机制策略的探索研究；
4，Query分析及相关性的研发；
5，智能投放、运营侧算法的研究与优化；

岗位要求 :
1，熟练掌握linux下面向对象编程；(熟悉Java最好)
2，熟悉机器学习、数据挖掘、NLP；
3，对数据敏感，有较强数据分析和解决问题能力；

加分项：
1，有一年以上广告/推荐/搜索算法、架构经验；
2，对技术有热情，动手能力强，参加过各类竞赛并取得较好成绩；
3，有高并发情况下的系统设计及实现经验；",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=261737945489084991
财务分析（北京）,财务平台,北京市,全职,3年,本科,14K-20K,NULL,NULL,NULL,"大型企业或事务所3年以上工作经验，有相关互联网公司工作背景、工作经验者优先考虑
-          具备全面的财务专业知识
-          具备数据敏感性，善于发现问题并推进解决问题
-          具备较强沟通能力，及时推进与影响业务
-          具备较强学习能力，适应业务的快速变化
-          熟练使用excel，ppt
-          负责财务预算与分析工作，包括预算、结算、账务处理、财务分析、以及风险控制等管理工作
-          全面深入了解业务，对业务有独立的理解和判断，为业务提供全方位的财务支持，成为业务全面财务合作伙伴
-          发掘流程系统风险点，建立完善相应流程，推进系统优化
-          对业务关键指标、重点项目可以进行独立评估，提供财务建议，帮助业务决策",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/23,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=7299
自动驾驶-算法优化专家/研究员,餐饮平台,北京市,全职,4年,本科,30K-50K,计算机，机器人等相关专业博士优先,NULL,NULL,"无人驾驶算法优化研究员/专家
工作地点：北京
工作职责：
• 负责面向无人驾驶应用的算法优化和移植工作
• 算法底层实现的优化，包括x86和arm等平台
• 算法并行化移植
职位要求：
具有独立的软件开发，数据分析和系统集成能力。熟悉C/C++，Python或者一种编程语言
三年以上基于C／C++的底层系统软件开发经验，并具有在多种硬件架构上实施算法优化的经验
扎实的算法设计／编码／调优／优化能力，熟悉CPU／DSP／GPU两种或以上处理器体系架构
对CPU cache，内存优化有相关项目经历
熟悉CUDA和OpenCL等GPGPU技术，并有相关项目经验
具有视觉项目或机器人、无人车定位导航项目经验
优先考虑：
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=234494143298604944
无人配送-高级android工程师,餐饮平台,北京市,全职,3年,本科,20K-40K,扎实的计算机专业基本功,NULL,NULL,"Android高级开发工程师
工作地点：北京
职位描述
1.负责配送无人车人机交互客户端的技术方案设计、代码编写
2.负责配送无人车人机交互客户端应用框架、SDK的设计开发、维护及扩展 
3.跟进Android新技术的发展
4.解决项目全程的各种问题
   
任职要求
1.扎实的计算机专业基本功，强大的代码编写能力；3年以上的Java移动开发经验，2年以上Android开发经验；
2.精通 Android APP 设计与开发，熟悉Android框架，了解各种优化技术；对Android系统应用管理、进程管理、内存管理机制有深入理解；
3.精通Android UI布局开发、动画开发、多线程开发；
4.熟练掌握APP 安全、性能、稳定性等非功能属性相关的技术； 
5.对后端技术、内核有所理解和探究，对 API 有审美和设计能力； 
6.有较大用户量（100万+） APP 设计/开发/持续改善经验者优先（骨干or 主导）； 
7.对底层框架、内核有所理解和探究；
8.习惯于较别人深入一层；拥有和工作年限相称的广度和（或）深度 
9.有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题； 
10.高度的创业心和投入度，既能搞定高难度的技术问题，同时又热切的关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=252590419711427745
无人配送车-系统软件工程师,餐饮平台,北京市,全职,3年,本科,25K-45K,NULL,NULL,NULL,"系统软件工程师
工作地点：北京 
工作职责
• 负责自动驾驶系统各功能模块的设计和实现
• 负责模块化、可验证的系统软件架构设计和实时性能优化
• 与硬件、算法和测试团队合作，集成并优化自动驾驶系统
职位要求
• 具有丰富的编程经验和良好的编程规范
• 具有5 年以上操作系统或系统级中间件等相关工作经验
• 具有丰富的嵌入式系统和 Linux 系统开发经验，精通驱动开发和软硬件协同调试
• 具有非常良好的团队合作精神，写得了代码，看得懂算法
优先考虑
• 具有Linux 和嵌入式实时操作系统内核经验优先
• 理解IA 和 ARM相关的系统架构，有硬件相关系统优化经验优先
• 具有大型CUDA 项目的开发经验优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/1/22,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=231216116267551315
