学历要求,职位诱惑（福利待遇）,经验要求,发布网站,公司规模,薪资,招聘人数,专业要求,工作性质,公司名称,公司主页链接,发布时间,公司发展阶段（融资阶段）,信息来源,职位所属部门名称,公司性质,工作地点,岗位描述,职位名称,公司行业
硕士,,2年,https://zhaopin.meituan.com,10000人以上,18K-36K,,,全职,美团点评,www.meituan.com,2017/12/5,,https://zhaopin.meituan.com/job-detail?jobId=229108157978839036,点评平台及综合事业群,电商平台,上海市,"工作内容：
1、深入挖掘大众点评用户和商户的行为特征
2、协助改进商户评分和排行榜算法
任职要求：
1、计算机、数学或相关专业硕士以上学历;
2、一年以上数据挖掘项目经验;
3、熟悉常用的分类聚类算法，清楚了解算法原理并能做一定的改进;
4、有一定的Hadoop MapReduce/Spark计算任务开发经验，熟悉常用参数调整策略;
5、精通sql,熟练掌握python或R",数据挖掘工程师（平台技术部上海））,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/12/5,,https://zhaopin.meituan.com/job-detail?jobId=8308,美团平台及酒旅事业群,电商平台,北京市,"职位要求：
1、本科以上学历，扎实的计算机基础，能够自驱技术学习。
2、熟悉数据仓库方法论、理解维度建模，有ETL相关开发2年以上工作经验。
3、熟悉Hadoop及Map-Reduce应用开发，懂得SQL优化。
4、数据敏感，逻辑清晰、严谨，理解数据发现价值，数据驱动业务。
5、踏实、细心、认真，有责任心，良好的团队协作，乐于沟通交流和分享。
6、有互联网大数据平台数据开发，数据仓库实施经验优先。
工作职责 :
1、理解业务，基于大型分布式平台建设美团平台数据集市。
2、将产品和运营的需求转化成数据的思维，设计面向业务的OLAP，集市模型。
3、与数据产品经理一起，解决数据准确性、计算稳定性相关的技术问题。
4、负责大数据的处理，以及ETL流程的开发和优化工作。
5、需求的沟通与数据开发项目管理",数据仓库开发工程师-BI,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=203400856157683719,技术工程及基础数据平台,电商平台,上海市,"岗位职责：1.负责公司数据平台安全，根据使用场景评估安全风险，制定安全数据管控方案；
2.负责制定数据安全标准框架，对数据进行分类分级，数据泄露应急演练，推动数据安全绩效考核；
3.负责推动数据安全方案落实执行，防范数据平台批量泄露风险，对数据交换进行评审；
4.负责数据安全相关运营工作；

岗位要求：1.具备3年以上互联网公司工作经验；
2.具有数据保护、IT内控及审计相关工作经验；
3.熟悉大数据平台相关技术及安全机制；
4.熟悉常见安全技术，具备一定攻防能力；
5.具有较强的沟通、协调能力，能够完成项目的组织、协调工作",数据安全资深工程师,O2O/生活服务，战略投资
硕士,,3年,https://zhaopin.meituan.com,10000人以上,25K-35K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=242171920099629569,餐饮平台,电商平台,北京市,"工作职责：

1、业务线数据产品的集成化包装，包括：应用型数据产品的集成化/门户化包装

2、报表工具、元数据管理工具的集中整合及迭代；

职位要求：

1、熟悉互联网产品整体实现过程，包括从需求分析到产品发布，深刻理解用户需求;

2、熟悉数据仓库及报表开发工具，对数据生产到应用的全链路有深入理解；

3、熟悉数据可视化，有平台型/门户型/工具型数据产品设计经验者优先；

4、有较强的逻辑思维能力、良好的沟通协调、执行推动能力；

5、熟练掌握Axure、Visio、MindManager、MS Office等基本产品工具；

6、计算机、统计学、数学等相关专业，本科及以上学历，3年以上数据产品规划和设计工作经验",数据产品经理,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=242154810636032486,外卖配送事业群,电商平台,成都市,"职位描述
1. 骑手轨迹、骑手定位数据分析和建模
2. 骑手画像、评级、留存等分析和建模
职位要求
1. 2年以上工作经验，数学、统计、信息工程、经济学硕士
2. 精通(R/Python）分析工具，精通（Hql/Sql)，熟悉hadoop、hive、Spark等
3. 优秀的逻辑思维能力和业务需求分析能力，较好的沟通交流能力，善于主动思考和行动",数据挖掘工程师（成都）,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=242156544636803565,外卖配送事业群,电商平台,北京市,"【外卖配送策略组-算法工程专家/算法开发工程师】

岗位职责：
1、负责机器学习平台技术架构设计，以及核心技术细节的实现； 
2、推动配送业务实现智能化与规范化，保障和提升线上业务的性能和稳定性； 
3、参与配送技术体系化建设，负责模型调研、评估、ABTest、监控等闭环体系的研发；
4、密切关注前言理论与技术，并将前沿技术落地、推广。

工作要求：
1、工作2年以上，在机器学习领域有相关项目经验；
2、至少熟悉scala、java、C++一种开发语言，工程能力强；
3、熟悉Hadoop、Spark、PS等分布式计算框架及其原理；
4、具体算法工程平台、机器学习平台建设经验者，优先考虑。",算法工程专家-外卖配送策略组,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=242143518141258146,外卖配送事业群,电商平台,成都市,"岗位职责： 
1. 理解公司战略和业务发展方向，梳理各业务部门数据需求形成有效的数据产品方案，对数据产品有owner意识；
2. 规划配送平台数据产品，制定阶段性产品目标；跨部门协调沟通，有效推进项目进展，完成既定产品目标；
3. 监控现有数据并对异常数据进行分析，协调研发部门处理异常情况，善于梳理总结形成流程或规范以便前瞻性解决类似问题；
4. 熟悉现有数据产品，对新上线数据产品进行培训协助业务理解和运用；

岗位要求：
1. 有5年以上工作经验，统招本科以上学历 3年以上互联网数据产品经验，有快递、配送或O2O行业数据背景优先；
2. 有复杂业务逻辑的分析能力和产品设计经验；
3. 目标导向，为数据产品负责，拥有强烈的责任心；
4. 良好的跨部门沟通协调能力，学习能力强，工作积极能承受较强工作压力。",数据产品经理（成都）,O2O/生活服务，战略投资
本科,,2年,https://zhaopin.meituan.com,10000人以上,20K-40K,,,全职,美团点评,www.meituan.com,2017/11/30,,https://zhaopin.meituan.com/job-detail?jobId=242141249322932694,外卖配送事业群,电商平台,成都市,"1.工作职责：
1）配送业务的数据模型设计与架构设计，离线数仓和实时数据体系的建设和不断迭代；
2）数据体系化建设与管理相关的系统研发（元数据管理、模型管理、配置化工具、数据治理等相关模块的研发）；
3）配送数据产品需求的研发、项目管理、代码review及相关团队规范的制定与优化；
4）c端产品流量数据分析体系的建设；
5）骑手画像、商家画像、用户画像及系统的建设；
6）实时特征工程系统架构设计与特征体系的研发；
2.任职要求：
1）深入理解数据仓库建设和业务建模理论，熟悉ETL研发；
2）熟悉Hadoop架构和工作原理，精通MapReduce编程；精通Hive，有HQL优化经验；
3）精通Storm或spark streaming开发，有实际项目研发经验；
4）有Java Web项目开发经验，具备独立完成模块开发能力，熟悉基于J2EE的相关开源技术以及框架（Spring、SpringMVC, ibatis）和实现原理；
5）掌握数据结构与算法，有java或python研发经验；理解基本的设计模式，能将业务需求快速理解成技术需求；
6）熟练使用至少一种RDBMS，并熟悉其原理；
7）有其他数据研发相关工具经验优先，例如HBase、Kylin、ES、Tair/Redis；",数据研发工程师（成都）,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,22K-30K,,,全职,美团点评,www.meituan.com,2017/11/29,,https://zhaopin.meituan.com/job-detail?jobId=203056182175301651,技术工程及基础数据平台,电商平台,北京市,"岗位职责：1.负责公司数据安全行为感知平台建设，打通各业务平台日志；
2.能够利用感知平台快速查案，能够利用规则和算法对异动进行预警；
3.负责数据黑产监控与打击；
4.在相关部门配合下，推动规则引擎与异常算法建立；


岗位要求：1.具备3年以上互联网公司工作经验；
2.具有数据保护、IT内控及审计相关工作经验；
3.具备产品经理经验尤佳，对算法、规则有一定经验;
4.熟悉黑市情报收集；
5.具有较强的沟通、协调能力，能够完成项目的组织、协调工作",数据行为安全资深工程师,O2O/生活服务，战略投资
本科,,3年,https://zhaopin.meituan.com,10000人以上,22K-30K,,,全职,美团点评,www.meituan.com,2017/11/29,,https://zhaopin.meituan.com/job-detail?jobId=203056890044350472,技术工程及基础数据平台,电商平台,北京市,"岗位职责：
1.负责公司数据安全架构解决方案；
2.负责对公司现有各系统数据架构、权限体系、流转方式进行梳理与重构，负责数据安全标准规范的制定和管理，包括数据安全风险识别、数据脱敏、数据流转、泄露防护、权限管控等；
3.负责数据安全的对外沟通与交流工作，跟踪业界前沿技术;


岗位要求：
1.具备5年以上互联网公司或安全咨询公司工作经验；
2.具有数据保护的框架设计能力；
3.具备CRM、ERP、电商交易系统的业务流程、数据流转、敏感数据的数据安全梳理、数据访问审计及脱敏等项目经验的优先；
4.熟悉前沿的数据隐私安全技术，如K匿名、L多样性、差分隐私等，有具体生产实践者优先",数据安全架构师,O2O/生活服务，战略投资
