职位名称,工作地点,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司规模,公司主页,发布日期
其他计算机职位,上海-嘉定,不限                        ,中专/技校,3000-5000元,其它行业,5人,"餐补,房补,交通补助,养老保险,医疗保险,工伤保险,失业保险,带薪年假,加班补助,做五休二",职位要求1、中专及以上学历，需要熟练计算机的基本操作，打字速度50字/分钟以上；2、有数据处理（录入）和数据核查经验者优先；3、有较强的学习能力，工作认真负责，吃苦耐劳，勤恳踏实；职责描述1、主要负责国内外公司的中、英文资料录入，调查问卷、会员名片、客户信息等相关数据的录入处理；2、依据录入流程文档和实际工作需要对数据信息进行及时而准确的处理；3、对负责录入的数据第一时间进行自检，保证数据录入的正确性；4、对录入数据的质量问题进行分析、审核，针对工作过程中发现的缺陷等状况进行记录并及时向上级反馈。5、薪资待遇：4000-7000元工作时间：周一至周五早：9：00晚6：00,上海浩铨信息技术科技有限公司,其它行业,20-99人,http://www.ganji.com/gongsi/106027622/,2017/8/20
店铺运营,上海-松江,1-3年,中专/技校,8000-12000元,耐用消费品(服...,3人,"包吃,工伤保险,带薪年假,加班补助",1、负责公司天猫店铺的整体运营；2、制定销售平台的推广方案并负责实施，对推广效果进行评估，对店铺及产品访问量，转化率数据进行分析。定期对数据收集，处理，分析；3、根据天猫搜索规则和用户习惯，优化店内产品标题关键词，产品详请页，关联销售，店铺分类导航和首页呈现等提高转化率；4、策划店铺促销活动，单品促销和关联营销，并利用直通车，钻展，硬广，短信等对活动进行推广；5、利用天猫站内资源，钻展，直通车，硬广，试用中心，聚划算等免费付费资源获取天猫内店铺流量；资格：1、有一定美工基础；2、丰富的互联网市场推广经验，具有明锐的市场洞察力；3、熟悉网站规划，架构，内容，市场和推广；4、熟悉电子商务平台的运作及网络销售各流程，具有良好的市场销售策略和能力；5、能承受较大工作压力，具有良好的执行能力和团队协作精神。,上海思备特服装有限公司,耐用消费品(服...,20-99人,http://www.ganji.com/gongsi/106407034/,2018/1/3
电子商务专员/主管,上海-杨浦,不限                        ,大专,3000-5000元,媒体/影视/文化,2人,餐补,职责范围1、负责网络平台产品上下架、推广、售后服务等日常工作，2、负责公司店铺网络平台的推广，能有效提公司产品的访问量3、协助制定推广方案并实施，对推广效果进行评估，对访问量等数据进行分析4、负责店铺网络平台在线客服，引导客户达成交易5、对店铺的IP、销量、跳出率地域分布、转化率等做出专业的数据分析及相关数据采集。6、协助店长完成店铺日常运营工作；7、负责新品上架、标题、首图与详情页优化，及新品上架后效果跟进及客资的收集。任职要求：1、大专以上学历，有1年以上淘宝店铺运营工作经验，打字速度快，反应灵敏，能同时和多人聊天，对客户有耐心2、有良好的敬业精神及学习能力，积极上进，开朗乐观；3、熟悉网络平台运营规则，熟悉OFFICE软件，能电话与客户沟通4、爱好互联网，有团队协作能力5、欢迎优秀应届毕业生申请，有淘宝平台相关工作经验者优先薪资不是问题，只要你有能力！:,上海市杨浦区乇尼缇娜摄影店,媒体/影视/文化,100-499人,http://www.ganji.com/gongsi/105152151/,2018/1/3
电话销售,苏州-NULL,不限,中专/技校,3000-5000元,金融/银行/投...,8人,"包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二","岗位职责：1、通过电话渠道为银行信用卡顾客办理业务及提额业务；2、执行各项业务操作标准，完成通时通次指标；3、维护每单品质，完成相关客户服务工作，发现异常情况，及时向上级汇报；4、遵守公司各项管理规定，完成公司交办的其他工作岗位要求：1、高中及以上学历，专业不限；2、普通话标准，有良好的语言表达和沟通能力；3、有良好的心理素质及抗压能力；工作时间：9:00-18:00,做五休二工资待遇：底薪2000+1000岗位津贴+绩效(0—上不封顶)+餐补240+星级补贴（500-5000）综合工资：3500–7000员工福利：1.免费住宿（4人间，独卫，空调，电视，冰箱，网线）2.餐费补助(每月240元，10号发放)3.免费班车（上下班公司到宿舍直达）4.培训晋升（3个月考核一次，纵向发展渠道：坐席-主管-助理经理-经理；横向发展渠道：监听，培训讲师，数据文员",江苏汇通金融数据股份有限公司,金融/银行/投...,1000-9999人,http://www.ganji.com/gongsi/106051820/,2018/1/3
财务/会计助理,上海-徐汇,1-3年,大专,3000-5000元,酒店/餐饮,1人,[],岗位职责：1、每月分两段时间与四方（商家、平台、堂食、财务）进行对账，每月16日对当月的1-15日款，下月1日对上月的16-31日款；2、水电煤每月结算一次，各分店电助做好抄表记录提交统计专员，统计专员核算，核算的金额与商家核对，核对无误由总部领导审批，审批通过后，移交总部财务，并在规定间内打款；3、负责所有营业单据，并分类管理；4、领导交代的其他任务。任职要求：1、大专以上学历；有1年及以上的数据统计经验，有较强的数据敏感性、擅于通过数据分析发现规律、需求；2、思维敏捷，接受能力强，能独立思考，善于总结工作经验；3、熟练应用Office办公软件；4、遵守公司数据统计分析工作的规范管理，不虚报，不舞弊，不弄虚作假；5、有过财务经验的优先考虑。,望湘园（上海）餐饮管理股份有限公司,酒店/餐饮,1000-9999人,http://www.ganji.com/gongsi/105164611/,2017/12/18
统计,上海-普陀,不限                        ,大专,3000-5000元,贸易/交通/运...,1人,"餐补,房补,交通补助,话补,加班补助",岗位要求：1.对数据分析有深刻的理解，有物流行业或者工厂数据管理、分析经验者优先考虑；2.对数据敏感、逻辑思维强，熟练数据分析工具；3.学习能力较强，具有团队合作精神，能够承担高压力高产出的工作；4.专科以上，统计学、经济学等相关专业者优先考虑。岗位职责:1.与公司各部门合作收集数据，完成公司日常的数据分析报告。2.与公司各部门沟通合作，梳理完成各运营部门的其它数据报表需求。,上海颂颂国际物流有限公司,贸易/交通/运...,20-99人,http://www.ganji.com/gongsi/105675776/,2017/9/15
大客户经理,上海-徐汇,不限,不限,20000元以上,中介服务,5人,"包吃,包住,餐补,房补,交通补助,话补,医疗保险,工伤保险,带薪年假,员工体检",岗位职责:你开心就好任职资格:你敢来我敢要提成咱们谈你要10成也行啊工作时间:你高兴就好公司目前除了缺你，啥都不缺,上海华义房地产经纪有限公司,中介服务,100-499人,http://www.ganji.com/gongsi/105158878/,2017/12/21
其他职位,上海-徐汇,不限                        ,高中,3000-5000元,计算机/网络/通信,2人,[],"一：岗位职责：1.审批业务（资料审批，电话审批）；2.对异常问题记录及报备；3.协助部门完善优化审批流程，审批系统功能；4.配合新业务排班安排。优先条件：普通话标准，有呼叫经验，熟练掌握计算机操作及Office软件计时工资，试用期18元一个小时，转正20元一个小时，车贴300，餐补10元每天,外宿补贴200，全勤100排休，上班时间早10：00～晚21：00(中午休息一个小时)综合工资4200-4500工作地址：坐标徐汇区龙漕路299号3A栋7楼，地铁3，12号线龙漕路站",昆山和君纵达数据科技有限公司,计算机/网络/通信,100-499人,http://www.ganji.com/gongsi/105111686/,2017/12/15
店铺运营,上海-闸北,1-3年,中专/技校,5000-8000元,贸易/交通/运...,2人,"餐补,房补,交通补助,养老保险,医疗保险,工伤保险,失业保险,生育保险,带薪年假,加班补助,年底双薪,员工体检","公司介绍：上海契谱贸易有限公司是一家年轻充满活力的贸易类公司近年来，随着中国电子商务的进步，无疑为契谱带来了更加广阔的客户资源以及发展舞台，公司通过团队积极拼搏与付出取得了飞速发展。上海契谱贸易有限公司旗下拥有多家行业TOP50店铺（多家天猫旗舰店、专卖店、专营店、淘宝金冠店铺）目前公司正全力拓展线上业务，热忱希望您的加入，让我们一起为我们美好的未来努力。公司地址：上海市静安区太阳山路188弄5号楼307/308室周边交通：地铁1号线/3号线/4号线上海火车站站，出站后步行约2分钟即可到达主营业务：电脑硬件/摩托车配件/小家电','职位：天猫店铺运营专员工作时间：做六休一，9：00--18：00中午一个小时吃饭休息，无加班无晚班，不包食宿，国家法定节假日正常休息。每年另有带薪年假。薪资待遇：试用期一个月，月薪3000；转正之后月薪4700（底薪+奖金+补贴）。年底加发年终奖，体检卡。公司每年组织2次外出旅游岗位职责：1、协助店长负责公司商城店店铺整体运营，提高店铺点击率和浏览量，以及日常运营管理工作2、协助店长进行公司经营产品的产品线管理，了解市场需求，预测市场发展方向并作出有效正确的分析3、对现有产品进行详情页、货品套餐的优化，以及负责新品的上架4、使用生意参谋、生E经等网店统计工具对店铺的PV、UV、销量、跳失率、转化率等做出专业的数据分析，平时做好竞争对手网站数据的采集、评估与分析；5、根据要求对库存不足的产品进行型号以及数量的整理；6、负责店铺各类促销活动以及淘宝官方各类活动的申报、争取、策划和实施；7、负责淘宝网店的各类推广方式，包括商品标题关键字策略、淘宝直通车、钻展淘宝客等，并配合店铺自身的各类营销推广；任职要求：1)高中/中专或同等以上学历，籍贯不限，性别要求不限。2)要求具有一年以上淘宝商城相关工作经验；有行业相关工作经验的优先录取3)熟练运用OFFICE等办公软件；电脑操作熟练。4)具备较强的市场分析能力，有敬业精神和良好的沟通能力。5)工作责任心及主动性强，具备团队协作精神，优秀的学习能力与创新能力；6)完成领导交待的其他事情",上海契谱贸易有限公司,贸易/交通/运...,20-99人,http://www.ganji.com/gongsi/105168611/,2018/1/3
店铺运营,上海-青浦,1-3年,大专,5000-8000元,贸易/交通/运...,2人,"包住,餐补,养老保险,医疗保险,工伤保险,失业保险,生育保险,住房公积金,带薪年假,做五休二,年底双薪","岗位职责：1.简单的产品图片处理，编写产品英文资料速卖通店铺的维护和管理，完成销售目标。2.上架维护产品，制作促销计划，能合理做好推广文案及活动策划并执行。3.及时回复客户售前咨询，售后服务，投诉及纠纷处理。4.就订单处理出货物流跟踪等与公司内部其它同事沟通协调。5.保持店铺的好评率和服务等级，制作销售明细报表，进行销售分析。6.站外引流，潜在客户的开发。负责收集+分析市场情报，并制定销售计划。7.协助完成上级安排的其他工作。岗位要求：1、大专以上学历，英语CET-4级以上，具备良好的客户服务意识及销售潜质；2、可以独立运营整个店铺。3、一年以上速卖通、运营推广和客服经验，熟悉速卖通、平台规则，懂得规避风险，能熟练使用第三方软件工具，懂得跨境交易的平台的价格设定、运输、支付、售后争议处理等程序和规则；4、具备速卖通市场产品信息的调查和收集和统计分析的能力，5、能运用第三方工具分析追踪、搜集、分析、汇总及考察评估新产品的信息，对新产品进行销售方案和采购预案的编写并对产品进行营销和推广方案策划；6、有志于国际电子商务行业，熟悉B2C,C2C的运作模式和流程，对B2C网店销售有浓厚兴趣和工作热情，有团队精神和服务意识，为人诚实守信，做事脚踏实地，较强的学习能力、应变能力，对电子商务外贸有兴趣和激情，具有高度责任心，能承受一定的工作压力；工作地点：上海市青浦区赵巷镇：福利待遇：1-五险一金。2-年终奖。3-满一年享有带薪年假。4-公司组织的外出旅游。5-端午节，中秋节，农历新年，生日，发红包慰问。公司位于青浦区赵巷镇17号线赵巷站,紧邻奥特莱斯，从赵巷站到2号线10号线虹桥火车站，仅6站路。真诚欢迎加入我们的团队！备注：单身女生可以考虑提供住宿",上海妞宝贸易发展有限公司,贸易/交通/运...,20人以下,http://www.ganji.com/gongsi/105292974/,2017/10/18
