职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
媒探客户经理,NULL,广州-NULL,全职,1-3年经验,本科,10000-15000 ,NULL,-1,NULL,职位描述                        岗位职责：1、关注互联网电商/房产/教育/旅游/金融/网服/快消行业动态，开拓新客户；2、负责腾讯大粤网媒探平台（自媒体广告分发）自媒体投放业务；3、准确挖掘或引导客户，能够理解客户的推广需求，与公司相关部门协作，向客户提供专业而全面的售前、售中及售后服务，保证客户需求顺利实现；4、完成上级制定的阶段性目标和年度销售目标。任职要求：1、1-2年互联网电商/房产/教育/旅游/金融/网服/快消广告行业销售经验；2、丰富的自媒体资源，有广告公司任职经历的优先；3、能独立完成客户方案，积极寻求让客户满意的策略，有成功管理客户的经验；4、出色的沟通能力，擅长分析和思考，对互联网/新媒体有浓厚的兴趣和涉猎；5、熟悉互联网推广的运作模式，具有专研性，广告数据具有敏感性。,广东腾南网络信息科技有限公司,"互联网,电子商务",上市公司,已上市,10000人以上,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/41
中级java开发工程师,NULL,北京-朝阳区,全职,1-3年经验,本科,10000-15000 ,NULL,1,NULL,职位描述                        岗位职责：1、负责公司业务平台的设计，开发，维护及优化等工作；2、协助产品梳理业务需求，提供技术方案；任职资格：1、本科以上学历，至少3年以上工作经验，2年以上Java网站后端开发或维护经验；2、精通常用的开源框架Spring MVC、Mybatis3、熟悉Linux开发环境，精通数据库设计、SQL优化4、熟悉高并发、高可用系统的开发、设计5、熟悉常用的HTML JAVACRIPT CSS等前端开发技术6、有支付系统、互联网金融产品开发背景者优先。7、具备良好的团队合作精神、较好的沟通能力、高度的责任感，具有较强的抗压能力；,北京花果信息技术有限公司,"金融,投资,证券",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/23
高级测试工程师,NULL,北京-朝阳区,全职,3-5年经验,本科,15000-20000 ,计算机或其他相关专业本科及以上学历,1,NULL,职位描述                        岗位职责:1、负责蚂蜂窝商城所有功能及性能测试包括但不限于：测试平台、测试工具的开发、单元测试、不同层面的自动化测试等。2、深入了解业务测试、功能测试的痛点，利用技术手段解决业务测试的痛点。3、负责测试团队的管理工作，推进测试团队技能提升。任职资格:1、计算机或其他相关专业本科及以上学历。2、熟练掌握web开发的流行技术，如js、jquery、html、css、php等。3、熟练使用Linux或Unix操作系统，会shell脚本的编写的优先。4、掌握My SQL等常用数据库系统的操作，能熟练编写SQL语句。5、较强的沟通、协调能力、分析问题和解决问题能力。,北京蚂蜂窝网络科技有限公司,"互联网,电子商务",民营,NULL,100-499人,http://www.mafengwo.cn,12/18/17,直聘网,http://www.zhipin.cn/jobs/100
自由行商务经理,NULL,北京-朝阳区,全职,1-3年经验,本科,10000-15000 ,NULL,1,NULL,职位描述                        岗位职责:1、基于对旅游目的地资源和产品的深刻理解，制定目的地产品布局和采购策略。2、根据公司已有产品和资源结合采购策略， 寻找、挖掘旅游资源商家，并促成合作。3、关注商家营销数据，基于对数据的分析，帮助商家在平台快速成长并不断提高业绩。4、管理供应商体系，做到资源优化调配，完成销售目标。任职资格:1、2年以上旅行产品商家采购工作经验，在线旅游行业优先考虑。2、对目的地核心产品有深刻理解，熟悉互联网商业模式和营销方式。3、具有敏锐的市场嗅觉和决策判断能力，具有整合营销和商务拓展能力。4、具有良好的沟通能力和沟通技巧，保持和商家的良性互动。,北京蚂蜂窝网络科技有限公司,"互联网,电子商务",民营,NULL,100-499人,http://www.mafengwo.cn,12/18/17,直聘网,http://www.zhipin.cn/jobs/103
储备干部,NULL,乐山-NULL,全职,NULL,本科,3000-5000 ,食品与科学相关专业,3,"有年假,晋升快,旅游",职位描述                        岗位职责：1、协助主管对生产情况进行数据分析、梳理归纳总结；2、协助主管对生产异常情况进行分析、及时处理、制定相应的措施；3、协助主管对生产相关制度、标准、程序文件进行起草、分类、归档任职资格：1、本科，食品与科学相关专业，可接受应届毕业生；2、能吃苦耐劳、适应性强、执行力高；3、熟练操作办公软件；4、语言表达能力良好，具备一定的文字功底。,峨眉山万佛绿色食品有限公司,"消费品,食,饮,烟酒",民营,NULL,100-499人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/673
高级产品经理,NULL,北京-西城区,全职,3-5年经验,大专,20000以上 ,NULL,1,NULL,职位描述                        我们希望你：1、有3-5年的工作经验，独立负责过多个产品项目，有比较成熟的项目管理能力。2、有良好的交互设计能力，有丰富的前端用户产品的设计经验。ps：我们团队没有专职ue，交互设计由产品和设计师共同完成。3、对教育有兴趣，有非常强的主动学习能力和意愿。4、喜欢互联网产品经理的工作，有良好的产品感觉，敏锐的数据sense5、符合以下任一条件都是重要加分项：1）有指导新人或带小型产品团队的相关经验，善于沟通。2）具备增值付费相关的产品项目经验，并且对这个方向有持续的兴趣和积累。3）具备社区运营/社交产品相关的项目经验，并且对这个方向有持续的兴趣和积累4）对游戏有非常浓厚的兴趣，或有游戏策略相关的经历。5）有良好的文案能力，或有广告营销行业背景。,光合新知（北京）科技有限公司,"互联网,电子商务",民营,NULL,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/95
技术总监,NULL,广州-萝岗区,全职,5-10年经验,本科,20000以上 ,NULL,1,NULL,"职位描述                        岗位要求：1、负责技术部门整体开发工作，运用领先开发技术，确保PC端，移动端，APP网站稳定；2、管理及培养技术团队，指导和解决研发人员遇到重点、难点技术问题，确保技术工作高效进行；3、负责部门技术规范制度的建立及执行管理，使开发工作更加规范，高效；4、带领团队按质按量完成PC端，移动端，APP开发任务。任职要求：1、本科以上学历；5年以上技术管理经验；2、拥有大型垂直网站（金融、IT，商旅等大数据网站）开发经验者优先；3、具备设计系统的架构、核心技术创新开发的能力，对互联网网站开发有深入理解；4、具备优秀的开发能力、判断能力和规划能力，具备平台架构意识，深具创业精神，能够在团队中培养技术人员。技术背景：1、 精通JAVA 语言，精通J2EE和Struts，Hibernate/ibatis，Spring等开源框架；2、 精通掌握1-2种主流移动互联技术、地理信息技术；3、精通OOA/OOD系统设计方法，熟练掌握UML设计工具，有良好文档编写习惯；4、 精通Tomcat、Weblogic、Websphere等中间件部署和架构；5、 精通MySQL、ORACLE、DB2等大型数据库管理和开发；6、 掌握 Solr、Lucene 、SOA、ESB、JQuery、JBPM、DWR、规则引擎等技术； ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?7、了解android,ios开发技术。8、对信息存储、搜索、缓存机制、性能优化等有深刻的理解；符合以下条件之一优先考虑：- 精通图片搜索，最好有代表性工作成果；- 精通系统架构设计，有Amazon CloudSearch或类似产品的系统架构经验；- 精通GBDT、LR 等分类器或尝试过LTR排序的试验最好。",广州卡宝宝互联网金融信息服务股份有限公司,"金融,投资,证券",上市公司,已上市,100-499人,NULL,12/18/17,直聘网,http://www.zhipin.cn/jobs/94
运营专员,NULL,北京-朝阳区,全职,1-3年经验,大专,5000-10000 ,中文、市场营销、房地产专业,1,"环境好,双休,五险一金",职位描述                        岗位职责：1、负责网站图文资料的撰写、上传，确保信息的完整与正确，熟悉房地产尤佳；2、负责运营产品的维护与改进；3、负责运营数据的整理、分析；4、上级交办的其他工作。任职要求：1、大专以上学历，中文、市场营销、房地产专业优先；2、对房地产市场有一定了解，有1年以上房地类网站或电商类网站工作经验；3、工作思维清晰，有较强的文案写作能力和语言表达能力；4、踏实稳重，具有高度的责任心、良好的团队合作和沟通能力。,北京亿平方科技有限公司,"金融,投资,证券",民营,NULL,20-99人,http://www.yipingfang.com/,12/29/17,直聘网,http://www.zhipin.cn/jobs/959
塑胶模具CNC操作工,NULL,重庆-荣昌区,全职,1-3年经验,高中,3000-5000 ,NULL,2,"管理规范,全勤奖,有补助",职位描述                        岗位职责要求：1、熟练使用三菱及法兰克控制面板加工中心机床操作：2、根据CAM编程数据及工件图纸加工出合格的工件。3、根据刀具性能合理的选择参数达到加工工件合格及保护刀具。4、对设备进行点检保养及环境5S整理。5、对机台性能非常了解异常发生时及时处理。6、能用控制面板编制一些简单的程式。就程式路径合理化问题给CAM工程任职资格：1、从事CNC加工2年以上，熟悉CNC编程代码，能解决加工中出现的一些问题。2、对加工中心的刀具使用非常熟悉，刀具性能及使用参数。3、认真按照CNC操作流程作业，质量检验标准，刀具管制流程，不合格异常及时处理。4、自检每个加工部件质量，发现异常及时处理。5、沟通能力强、团队协作能力加，做事踏实勤恳。,重庆联荣智能模具股份有限公司,其他行业,股份制企业,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/390
wed前台,NULL,天津-北辰区,全职,1-3年经验,本科,5000-10000 ,NULL,5,"双休,五险一金,朝九晚五",职位描述                        岗位要求： 1、负责网站的页面制作、实现网站用户交互的效果； 2、对UI设计的结果进行页面制作（DIV/CSS/css3+xhtml/html5+JS）； 3、基于HTML5.0标准进行页面制作，编写可复用的用户界面组件； 4、配合程序进行代码的调试、bug修复、浏览器兼容性调优； 5、参与部分页面的策划创新工作； 任职要求： 1、两年以上网站前端设计、开发制作经验； 2、精通XHTML/HTML5/CSS3，能编写符合W3C标准、兼容主流浏览器的代码； 3、精通Ajax、Json及****等数据交换格式； 4、精通XHTML /HTML5/CSS3，能编写符合W3C标准、兼容主流浏览器的代码；,泰华宏业（天津）机器人技术研究院有限责任公司,"互联网,电子商务",民营,NULL,20-99人,NULL,12/26/17,直聘网,http://www.zhipin.cn/jobs/687
