,职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
11,爬虫开发工程师,,杭州-萧山区,,2年经验,大专,8000-15000,,2,"五险一金,年终奖金,员工旅游,免费班车,定期体检","岗位职责：1、根据不同业务需求沟通协作，实现数据采集、清洗、挖掘数据源归类；2、根据不同项目制定爬虫策略并持续优化采集效率和质量；3、维护现有项目采集规则，优化分词结构；4、负责项目数据采集、清洗、数据库写入，优化数据存储方案5、负责领域知识的定向爬取、深度提取和挖掘任职要求：1、计算机相关专业背景，本科以上学历，三年以上工作经验；2、熟练掌握HTIP、TCP/IP等网络传输协议工作原理；3、熟悉HTML、css、javascript、ajax前端代码，精通正则表达式；4、熟悉关系型数据库的开发Mysql、Mongdb至少一种；熟练掌握至少一种主流的web抓包,开发工具5、对网页数据抓取、信息提取、去重、清洗有一定经验，了解常见反爬虫策略具有网络爬虫相关经验者优先；6、熟练多线程技术、API、自然语言处理、信息检索、机器学习等相关优势经验者优先",杭州钱塘大数据交易中心有限公司,"互联网, 电子商务,计算机软件",合资,,50-150人,,27/12/2017,前程无忧,http://jobs.51job.com/hangzhou-xsq/94505270.html?s=01&t=0
12,spark开发工程师,,深圳,,3-4年经验,本科,,,1,,主要负责大数据平台的系统搭建；通过scala完成算法及模型的封装；建立后台计算框架，完成自动化计算流程。计算机相关专业，三年及以上工作经验；熟悉java，python，scala等开发语言；深入理解spark/hadoop等大规模分布式计算平台的使用经验；有scala开发经验及有大数据分析平台的系统搭建经验者优先。,深圳市腾讯计算机系统有限公司,"互联网, 电子商务",民营公司,,500-1000人,,27/12/2017,前程无忧,http://jobs.51job.com/shenzhen/97329116.html?s=01&t=0
13,可视化前端开发工程师,,深圳,,无工作经验,本科,,,1,,1.负责腾讯医疗相关产品的开发工作，包括html5、css3、js等；2.帮助业务持续优化前端页面的体验和访问速度，主要在大数据可视化方向；1.2年以上前端开发经验，精通html5/css3/javascript等web开发技术；2.熟悉bootstrap，angularjs，reactjs，vue等框架，熟练掌握一种以上；3.对web标准有良好认识，能够高保真还原设计稿，代码风格严谨工整，能够兼容各种浏览器；4.对web前端的性能优化以及web常见漏洞有一定的理解和相关实践；5.？掌握至少一门服务器端编程语言，如nodejs、php；6.具备良好的分析解决问题能力，能独立承担任务，有开发进度把控能力；7.责任心强，思路清晰，具备良好的对外沟通和团队协作能力，主动、好学，抗压能力好；加分项：1.精通php开发；2.精通nodejs开发；3.精通vue；,深圳市腾讯计算机系统有限公司,"互联网, 电子商务",民营公司,,500-1000人,,27/12/2017,前程无忧,http://jobs.51job.com/shenzhen/95887735.html?s=01&t=0
14,SPARK大数据开发工程师,,深圳,,2年经验,本科,10000-15000,,1,"五险一金,免费班车,交通补贴,餐饮补贴,专业培训,绩效奖金,定期体检",一、岗位职责：1、负责数据仓库和大数据处理模块的架构设计和开发、性能调优2、负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；3、负责基于Spark技术完成海量数据的机器学习、深度学习等开发工作二、岗位要求：1.计算机或相关专业，本科以上学历2、熟悉Hadoop/Spark生态系统组件的使用，至少有1年的Spark(Core/Streaming/SQL)开发经验；3.熟悉Scala/Java语言，对Scala/Java原理、底层技术有深入研究者优先；4.对新技术有孜孜不倦的热情，具有良好的学习能力、团队协作能力和沟通能力；5有过海量数据系统开发经验者优先；6.有HBase、Kafka、ES(ELK)、图计算、图存储等经验者优先；7.有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先。,TCL集团工业研究院,"学术, 科研",外资（非欧美）,,150-500人,,20/12/2017,前程无忧,http://jobs.51job.com/shenzhen/90655460.html?s=01&t=0
15,爬虫工程师,,广州,,1年经验,本科,5000-10000,,0,"五险一金,弹性工作,专业培训,年终奖金","岗位职责：1、负责网络爬虫的架构设计和开发，搭建高性能、可扩展、稳定的分布式爬虫系统；2、根据需求进行相关的技术调研，形成可行的爬虫技术解决方案；3、解决爬虫相关的各类疑难问题。职位要求：1、全日制本科及以上学历，计算机相关专业；2、一年以上爬虫项目开发经验，精通常用的爬虫语言和框架，熟悉java、c++或python，且熟悉一种以上主流的爬虫工具优先，如webmagic，nutch等；3、精通网页抓取原理及技术、正则表达式、xpath,能够从结构化的和非结构化的数据中获取信息；4、至少熟悉一种关系型数据库，如Mysql、Oracle、MSSQL等；能够开发高效率、高质量的网络爬虫；5、能够解决反爬虫、网络异常等各种常见爬虫问题，有实战经验者优先；6、具有良好的团队合作精神，有较强的解决问题的能力和钻研精神。备注：优秀毕业生可放宽条件。",广州荔枝网络有限公司,"互联网, 电子商务,计算机软件",国企,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/guangzhou/85462642.html?s=01&t=0
16,spark工程师,,北京-朝阳区,,5-7年经验,本科,15000-20000,,1,"五险一金,补充医疗保险,交通补贴,餐饮补贴,年终奖金,弹性工作,定期体检","职位描述：1.负责基于Spark的海量数据处理、分析、统计、挖掘工作；2.负责基于开源组件如Kafka、Spark、Hadoop构建统一的计算平台，包含准实时、离线计算，以及计算平台的性能调优；3.负责根据需求使用SparkMachineLearning进行数据分析、挖掘等工作。职位要求：1.计算机相关专业，3年及以上大数据领域工作经验；2.熟悉Hadoop/Spark/Kafka等开源组件的使用，至少有1年的Spark(Streaming/SQL/MLlib)应用开发经验；3.精通Scala/Java/Python语言(至少两种)，熟悉Linux开发环境；4.有海量数据处理、数据分析和挖掘经验者优先,有统计学数学知识者优先；5.有HBase、Hive、ELK等经验者优先；6.有优良的分析解决问题能力，具有良好的学习能力、团队协作能力和沟通能力；7.有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先。",上海蓬景数字营销策划有限公司北京分公司,"互联网, 电子商务,广告",民营公司,,150-500人,,22/12/2017,前程无忧,http://jobs.51job.com/beijing-cyq/95139451.html?s=01&t=0
18,数据库工程师,,广州,,3-4年经验,本科,15000-20000,,2,"五险一金,补充医疗保险,补充公积金,员工旅游,年终奖金,绩效奖金,专业培训",职位描述：1、负责公司大数据技术预研，测试各种大数据组件，为公司大数据产品选定技术组件和整个数据解决方案；2、参与研发公司大数据产品的数据处理模块；3、负责解决大数据技术的相关问题。任职要求：1、至少1年以上大数据相关工作经验；2、熟悉Oracle、MySQL、SQLServer等至少一种关系型数据库；3、熟悉Hadoop生态相关组件，熟悉Hadoop、Hive、Spark、Presto、HBase、Kylin等至少一种生态组件；4、对Greenplum、Vertica等MPP数据库有一定了解；5、具有Java编程能力，熟悉Linux环境，会编写简单的Shell脚本；6、在数据处理和计算方面具有一定经验，具备互联网工作经验、数据仓库建模经验者优先；7、具有良好的沟通表达能力，可以与其他团队良好协同合作。,广州思迈特软件有限公司,计算机软件,民营公司,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/guangzhou/97312015.html?s=01&t=0
23,数据分析工程师,,深圳,,无工作经验,,10000-15000,,1,,1、根据业务及产品的需求，规划和设计数据指标体系，对运营数据跟踪分析，发现潜在的商业机会、风险或缺陷，对公司战略及产品决策提供数据支持；2、日常运营数据的接入、清洗和处理、中间表/宽表的建设和管理，统计报表的开发和维护；3、对运营数据进行建模和挖掘，应用于日常数据分析以及数据应用研发过程。【岗位要求】：1、全日制本科及以上学历，统计学、应用数学、计算机等相关专业；2、从事数据分析领域工作至少2年以上，具备较强的逻辑分析能力、学习能力及理解能力，掌握数据分析体系方法，熟悉数据建模知识、数据挖掘理论；3、掌握Python、R、SAS、SPSS等任意数据分析工具，熟悉SQL脚本编写；4、有海量数据分析处理经验及大数据分析计算平台的开发经验，熟悉Spark/Hive/Hadoop/MapReduce者优先；5、有金融学习或工作背景，了解金融业务相关知识者优先；6、具有良好的沟通协调能力和团队意识、责任心强。,星河控股集团有限公司,"房地产,金融, 投资, 证券",民营公司,,1000-5000人,,27/12/2017,前程无忧,http://jobs.51job.com/shenzhen/97313485.html?s=01&t=0
24,数据分析师,,常州,,3-4年经验,本科,8000-12000,,0,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,股票期权",数据分析师工作内容：1.深入了解产品和业务，对产品和业务问题进行深入分析，为公司运营决策、产品和业务方向、销售策略提供数据支持；2.能独立完成数据分析整个流程，准确理解业务需求，对数据进行提取、清洗、转换和建模的开发工作，基于日常数据进行数据监控并撰写数据报告；3.负责与各个相关部门对接合作，提炼数据产品需求，进行数据建模工作，推动业务部门的数据化运营；任职要求：1.统计、数学、计算机等相关专业本科及硕士以上学历；2.三年及以上数据分析工作经验，有互联网公司商业分析、数据分析挖掘工作经验者优先考虑；3.有较强的逻辑分析能力和系统性思维能力，有较强的分析总结能力和表达能力，数据敏感度高；4.掌握一种或多种统计分析软件，如SPSS/R/Amos/SAS等，熟悉MySQL/SQL/Hive等数据库软件，有阿里云服务maxcomputer，quickBi使用经验者优先；5.熟悉统计建模理论，有回归、分类、聚类、决策树等建模经验；6.有良好的沟通能力和学习能力，能与不同部门高效沟通和协作，善于主动思考和行动，乐于解决具有挑战性的问题。,常州数赢云网络科技有限公司,"互联网, 电子商务",民营公司,,150-500人,,27/12/2017,前程无忧,http://jobs.51job.com/changzhou/97290895.html?s=01&t=0
26,数据分析员,,广州-越秀区,,2年经验,大专,3000-4500,,1,"周末双休,五险一金","岗位职责:1、负责各类运营数据采集和统计，按时完成周报、月报统计与分析工作；2、定期对异常的运营数据进行排查与分析；3、运用数据分析提供的数据趋势管理和定期跟踪的策略，对项目公司的运营结果进行聚类分析，提出优化的建议，并形式分析报告；4、负责数据处理分析，特定类型数据挖掘、特征分析和计算等，为运营提供全面、高价值的数据分析；5、其他交办的数据支持、数据分析工作。任职要求:1、全日制大专及以上学历，统计学专业优先考虑；2、有制造业或投资公司工作经验或的优先考虑；3、精通使用EXCEL各类函数以及SQLserver数据库软件，能使用SPSS、SAS、HIVE等数据处理工具优先,有建立数据模型工作经验优先；4、为人正直、责任心强、作风严谨、工作仔细认真，具备良好的职业道德素养；5、具有严谨的逻辑思维能力，有创新思维，优秀的学习能力、良好的语言表达能力。",广州市森能投资管理有限公司,,多元化业务集团公司,,1000-5000人,,27/12/2017,前程无忧,http://jobs.51job.com/guangzhou-yxq/74628328.html?s=01&t=0
