职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,职位描述和职位要求,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
大数据定岗工程师,NULL,南京 江宁-NULL,全职,1年经验,本科,6000-10000,NULL,NULL,"年终奖,五险一金,带薪年假,住房补贴,晋升空间大,节日福利,员工培训,定期体检,交通补贴,话费补贴,项目奖金,更多,","岗位职责:职要求：1.有无相关工作经验均可，有jave基础的优先考虑，可接受应届生；2.有良好的沟通能力和表达能力；3.学历能力强，有良好逻辑思维能力；4.热爱计算机类，网络营销类工作；5.年龄30岁以下优先。工作时间：9:00-18:00待遇入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助）假期国家法定节假日、周六日双休、带薪年假等待遇优厚，五险一金，双休，法定假日。条件优秀者可相应放宽。不符合条件者勿扰（非中介，非保险）入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间","
 岗位职责：任职要求：1.有无相关工作经验均可，有jave基础的优先考虑，可接受应届生；2.有良好的沟通能力和表达能力；3.学历能力强，有良好逻辑思维能力；4.热爱计算机类，网络营销类工作；5.年龄30岁以下优先。工作时间：9:00-18:00待遇入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助）假期国家法定节假日、周六日双休、带薪年假等待遇优厚，五险一金，双休，法定假日。条件优秀者可相应放宽。不符合条件者勿扰（非中介，非保险）入职后签订劳动就业合同，五险一金+双休法定假日,有良好的晋升空间
",南京欧米伽网络科技有限公司,O2O,上市公司,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/6193603485109761.html,中华英才网
大数据方向Java开发实习生-优才计划 长沙 +带薪实习,NULL,长沙-岳麓区,全职,0年经验,大专,3500-5000,NULL,NULL,"五险一金,晋升空间大,项目奖金,商业保险,带薪年假,带薪病假,定期体检,弹性工作,员工培训,员工旅游,节日福利,优秀人才多,领导易相处,办公室漂亮,更多,",岗位职责:.参与开发公司内部的大数据统计、分析、可视化工具，提供更丰富的统计功能、更快的统计速度、更好的可视化效果、更准确的报表;2.支持产品、运营、技术同学提出的定制化数据查询、统计需求。岗位要求：1.专科及以上学历，相关理工科专业。2.编程基础扎实，熟悉Java;3.热爱钻研，有较强的学习能力;4.具备强烈的责任心，良好的沟通协作能力;5.每周出勤不低于5个工作日，实习期不低于5个月。备注：中软卓越为大型综合性软件信息服务企业，公司有四大业务板块，分别为技术服务、专业服务、新服务、卓越培训；其中在技术服务领域，中软卓越主要合作伙伴为华为、微软、中国移动、腾讯、百度、阿里巴巴等，中软卓越招聘要求会遵守合作伙伴用人标准。如面试无法表达对应标准者，可以求职卓越培训中心准员工岗位，通过集中性技能培训后再进行入职面试。,"
 实习职责：1. 参与开发公司内部的大数据统计、分析、可视化工具，提供更丰富的统计功能、更快的统计速度、更好的可视化效果、更准确的报表;2. 支持产品、运营、技术同学提出的定制化数据查询、统计需求。岗位要求：1. 专科及以上学历，相关理工科专业。2. 编程基础扎实，熟悉Java;3. 热爱钻研，有较强的学习能力;4. 具备强烈的责任心，良好的沟通协作能力;5. 每周出勤不低于5个工作日，实习期不低于5个月。备注：中软卓越为大型综合性软件信息服务企业，公司有四大业务板块，分别为技术服务、专业服务、新服务、卓越培训；其中在技术服务领域，中软卓越主要合作伙伴为华为、微软、中国移动、腾讯、百度、阿里巴巴等，中软卓越招聘要求会遵守合作伙伴用人标准。如面试无法表达对应标准者，可以求职卓越培训中心准员工岗位，通过集中性技能培训后再进行入职面试。
",长沙中软计算机系统服务有限公司,计算机软件,上市公司,NULL, 500人以上,NULL,2017-12-6,http://www.chinahr.com/job/5904184815782401.html,中华英才网
大数据分析顾问,NULL,深圳-南山区,全职,0年经验,本科,6000-8000,NULL,NULL,"五险一金,带薪年假,员工旅游,优秀人才多,晋升空间大,领导易相处,",岗位职责:.分析一些列原始市场数据，帮助顾客定位目标市场；2.收集并分析市场信息，以锁定主要目标顾客；3.与团队一起创建公司决策者分析树，以定位关键决策人群；4.协助销售团队就行业，产品或地区以定制市场开发战略；5.与各团队协作以确保满足顾客在数据方面的要求；6.熟练运用数据库中各类信息以满足数据库的更新，丰富及转换需求。任职要求：1.本科以上学历，研究生优先录取；2.专业不限，优先录取专业：大数据，金融，市场营销，审计，经济学，创业，外语，国际商贸，工商管理或企业管理等；3.有国外生活，学习经验者优先录取；4.流利的英文听说读写能力（大学英语4级，雅思5.5，托福90分及以上），第二外语技能优先录取；5.熟练运用Microsoft办公软件及CRM系统者优先录取6.入职需接受3个月泰国曼谷（亚太地区总部）进行入职培训其他要求：1.较强组织能力，分析能力及项目管理能力者优先录取；2.较强商务沟通能力者优先录取；3.有市场信息、数据分析工作经验者优先录取；4.有较强团队协作者优先录取选择我们的理由：1.公司将为每一个员工提供公平的竞争机会，也为你提供一个国际化的平台。我们每年为优秀员工提供总部带薪培训项目，若你表现突出将有机会到巴塞罗那总部进行为期10天的培训；2.我们有一只专业的管理团队，团队经理将为每一个希望学到更多金融科技，数据分析和B2B市场营销知识的员工进行耐心且全面的入职培训，并在你今后的工作中尽全力教导，帮助你早日融入到工作环境中；3.你将在工作过程中通过各类主题以接触学习到更多关于B2B符合销售和ABM营销（AccountBasedMarketing）的知识，这将帮助你在任何与市场营销，市场开发相关的行业中脱颖而出；4.实习期间提供固定工作，并根据业绩及表现提供奖金提成；5.转正后提供五险一金福利及带薪年假工作时间：周一至周五，每周40个小时工作时长。享受所有国家法定节日休息。简历要求（以下文件需英文文档）：1.个人简历；2.自荐信（简单介绍工作经验或学习背景及对这个职位感兴趣的主要原因）3.可以开始工作的时间；4.期待薪酬备注：我们只回复符合条件的申请者。,"
 岗位职责：1. 分析一些列原始市场数据，帮助顾客定位目标市场；2. 收集并分析市场信息，以锁定主要目标顾客；3. 与团队一起创建公司决策者分析树，以定位关键决策人群；4. 协助销售团队就行业，产品或地区以定制市场开发战略；5. 与各团队协作以确保满足顾客在数据方面的要求；6. 熟练运用数据库中各类信息以满足数据库的更新，丰富及转换需求。任职要求：1. 本科以上学历，研究生优先录取；2. 专业不限，优先录取专业：大数据，金融，市场营销，审计，经济学，创业，外语，国际商贸，工商管理或企业管理等；3. 有国外生活，学习经验者优先录取；4. 流利的英文听说读写能力（大学英语4级，雅思5.5，托福90分及以上），第二外语技能优先录取；5. 熟练运用Microsoft办公软件及CRM系统者优先录取6. 入职需接受3个月泰国曼谷（亚太地区总部）进行入职培训其他要求：1. 较强组织能力，分析能力及项目管理能力者优先录取；2. 较强商务沟通能力者优先录取；3. 有市场信息 、数据分析工作经验者优先录取；4. 有较强团队协作者优先录取选择我们的理由：1. 公司将为每一个员工提供公平的竞争机会，也为你提供一个国际化的平台。我们每年为优秀员工提供总部带薪培训项目，若你表现突出将有机会到巴塞罗那总部进行为期10天的培训；2. 我们有一只专业的管理团队，团队经理将为每一个希望学到更多金融科技，数据分析和B2B市场营销知识的员工进行耐心且全面的入职培训，并在你今后的工作中尽全力教导，帮助你早日融入到工作环境中；3. 你将在工作过程中通过各类主题以接触学习到更多关于B2B符合销售和ABM营销（Account Based Marketing）的知识，这将帮助你在任何与市场营销，市场开发相关的行业中脱颖而出；4. 实习期间提供固定工作，并根据业绩及表现提供奖金提成；5. 转正后提供五险一金福利及带薪年假工作时间：周一至周五，每周40个小时工作时长。享受所有国家法定节日休息。简历要求 （以下文件需英文文档）：1. 个人简历；2. 自荐信 （简单介绍工作经验或学习背景及对这个职位感兴趣的主要原因）3. 可以开始工作的时间；4. 期待薪酬备注：我们只回复符合条件的申请者。
",贵州省中科亚星信息科技有限公司,企业服务,民营私企,NULL, 51－100人,NULL,2017-11-26,http://www.chinahr.com/job/6196651601136897.html,中华英才网
大数据分析助理/实习生 （地铁调度方向）,NULL,西安-碑林区,全职,0年经验,大专,4000-6000,NULL,NULL,"绩效奖金,弹性工作,晋升空间大,话费补贴,五险一金,商业保险,",岗位职责:、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2016、2017届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安,"
 岗位职责：1、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀 2016、2017届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安
",西安中软卓越信息技术有限公司,计算机软件,上市公司,NULL, 500人以上,NULL,2018-1-4,http://www.chinahr.com/job/5562418888442369.html,中华英才网
大数据分析助理/实习生 地铁调度,NULL,西安-碑林区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,绩效奖金,五险一金,交通补贴,员工培训,",岗位职责:、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。4、本岗位欢迎优秀应届生投递。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安,"
 岗位职责：1、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。4、本岗位欢迎优秀应届生投递。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安
",北京中软国际教育科技股份有限公司西安分公司,移动互联网,上市公司,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/6470976822283777.html,中华英才网
大数据分析助理/实习生 地铁调度,NULL,西安-碑林区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,绩效奖金,五险一金,交通补贴,员工培训,",岗位职责:、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安,"
 岗位职责：1、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安
",北京中软国际教育科技股份有限公司西安分公司,移动互联网,上市公司,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/6471064371465217.html,中华英才网
大数据分析助理/实习生/助理 地铁调度,NULL,西安-碑林区,全职,0年经验,大专,4000-6000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,商业保险,定期体检,员工培训,员工旅游,节日福利,工作内容有趣,优秀人才多,晋升空间大,更多,",岗位职责:、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安,"
 岗位职责：1、负责客户、产品数据挖掘需求的沟通、收集、整理。2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。3、与大数据技术人员配合，协助将相关分析方法进行技术实现。任职要求：1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀2017、2018届毕业生优先考虑。2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。4、具备良好的时间管理、规划执行力。5、经验不限，了解软件编程语言优先。工作地点：西安
",北京中软国际教育科技股份有限公司西安分公司,计算机服务,上市公司,NULL, 500人以上,NULL,2018-1-4,http://www.chinahr.com/job/6369055136353282.html,中华英才网
大数据分析专员/实习生/助理,NULL,西安-雁塔区,全职,0年经验,本科,4000-7000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,带薪年假,节日福利,员工旅游,晋升空间大,帅哥美女多,办公室漂亮,领导易相处,更多,",岗位职责:、对业务经营数据进行整理和分析，提出有针对性的方案和建议。2、负责市场趋势与竞品数据的监控和洞察，帮助优化相关业务流程，推进产品运营部门工作进行。3、搜集整理产业链各环节关键数据信息，研究行业产业链，绘制产业链图谱。任职要求：1、本科及以上学历，经济、经管、工商管理、计算机，数据挖掘、统计专业优先，2017届优先。2、具备系统的资料收集、整理能力，及良好的文字处理能力；能熟练运用数据分析软件。3、具备较强的数据敏感度和数据分析力。4、良好的结构化分析与逻辑化表达能力、沟通能力和协调推进能力。5、快速学习能力及适应变化的能力，富有进取创新精神和团队合作意识。薪资福利：1、为员工提供5A级办公环境，中央空调，品茶室、休息室等设施；2、根据国家规定，公司提供五险一金，年底双薪，项目奖金、年终奖金、旅游、、带年假等；3、公司每一年调薪1-2次，根据员工工作表现及公司发展情况，调整幅度不等；4、带薪年假、婚假、产假各类假期，连续工作满一年的员工提供带薪年假；5、团队活动丰富，不定期出游聚餐。6、上班时间周一至周五，周末双休，公司不提倡加班，国家法定节假日照常休息。7、基本工资+绩效奖金+补贴+年终奖+优秀员工激励奖金等8、提供三方协议，毕业留用9、公司不对外招收管理人员，所有管理层均在员工中培养提拔备注：由于公司目前在西安地区有招聘需求，应聘者请考虑实际情况进行投递，如果暂时不能到西安参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机,"
 岗位职责：1、对业务经营数据进行整理和分析，提出有针对性的方案和建议。2、负责市场趋势与竞品数据的监控和洞察，帮助优化相关业务流程，推进产品运营部门工作进行。3、搜集整理产业链各环节关键数据信息，研究行业产业链，绘制产业链图谱。任职要求：1、本科及以上学历，经济、经管、工商管理、计算机，数据挖掘、统计专业优先，2017届优先。2、具备系统的资料收集、整理能力，及良好的文字处理能力；能熟练运用数据分析软件。3、具备较强的数据敏感度和数据分析力。4、良好的结构化分析与逻辑化表达能力、沟通能力和协调推进能力。5、快速学习能力及适应变化的能力，富有进取创新精神和团队合作意识。薪资福利：1、为员工提供5A级办公环境，中央空调，品茶室、休息室等设施；2、根据国家规定，公司提供五险一金，年底双薪，项目奖金、年终奖金、旅游、、带年假等；3、公司每一年调薪1-2次，根据员工工作表现及公司发展情况，调整幅度不等；4、带薪年假、婚假、产假各类假期，连续工作满一年的员工提供带薪年假；5、团队活动丰富，不定期出游聚餐。6、上班时间周一至周五，周末双休，公司不提倡加班，国家法定节假日照常休息。7、基本工资+绩效奖金+补贴+年终奖+优秀员工激励奖金等8、提供三方协议，毕业留用9、公司不对外招收管理人员，所有管理层均在员工中培养提拔备注：由于公司目前在西安地区有招聘需求，应聘者请考虑实际情况进行投递，如果暂时不能到西安参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机
",西安软通动力技术服务有限公司,移动互联网,上市公司,NULL, 500人以上,NULL,2018-1-2,http://www.chinahr.com/job/6140058767592449.html,中华英才网
大数据岗前实习生,NULL,南京 江宁-NULL,全职,0年经验,本科,6000-10000,NULL,NULL,"年终奖,五险一金,带薪年假,住房补贴,晋升空间大,",岗位职责:职要求1计算机相关专业优先2学校期间Jave语言基础优先3学习和适应能力较强4兴趣加耐心应届生可以培养,"
 岗位职责：任职要求 1 计算机相关专业优先 2 学校期间Jave语言基础优先 3 学习和适应能力较强 4兴趣加耐心 应届生可以培养
",南京欧米伽网络科技有限公司,O2O,上市公司,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/5797230193606913.html,中华英才网
大数据高级工程师,NULL,郑州-郑东新区,全职,2年经验,本科,5000-8000,NULL,NULL,"优秀人才多,晋升空间大,领导易相处,地处繁华商圈,工作内容有趣,",岗位职责:.针对多源数据的不同特点，制定各类数据源的数据规范、制定处理流程、质量检验、数据发布规范2.根据国家法规制定数据脱密规范并据此审核数据服务的发布3.协调、实施多源数据整合，确认整合细则并对各类数据进行检验任职要求：1.测绘专业本科以上学历，具有2年以上的经验2.熟悉GIS矢量、栅格数据格式，熟悉卫星遥感数据3.能熟练使用常用的GIS平台如ArcGIS4.具备良好的沟通协调能力和团队建设能力，责任意识强,"
 岗位职责：1. 针对多源数据的不同特点，制定各类数据源的数据规范、制定处理流程、质量检验、数据发布规范2. 根据国家法规制定数据脱密规范并据此审核数据服务的发布3. 协调、实施多源数据整合，确认整合细则并对各类数据进行检验任职要求：1. 测绘专业本科以上学历，具有2年以上的经验2. 熟悉GIS矢量、栅格数据格式，熟悉卫星遥感数据3. 能熟练使用常用的GIS平台如ArcGIS 4. 具备良好的沟通协调能力和团队建设能力，责任意识强 
",郑州行如舟农业大数据技术有限公司,数据服务,股份制,NULL, 21－50人,NULL,2018-1-2,http://www.chinahr.com/job/6448706295991556.html,中华英才网
大数据工程师,NULL,北京-海淀区,全职,1年经验,本科,10000-20000,NULL,NULL,"年终奖,",岗位职责:、负责京东无人机Android平台的设计开发；2、负责产品技术创新，架构及性能优化；3、负责协同产品经理一起规划整个客户端的功能架构、交互体验；4、带领Android研发团队协同工作，快速迭代Android客户端的版本更新任职要求：1、计算机相关专业本科以上学历，3年开发工作经验至少2年以上Android开发及安全分析经验；2、熟悉Android逆向工程，熟悉C/C++和Java开发，Smali、ARM指令集；3、熟悉常见的加密算法以及丰富的DEX、ELF加壳脱壳经验；4、熟悉常见的Android系统漏洞，并有一定的认识；5、精通Android框架，JNI，熟练运用NDK，具有独立编写Android应用程序和Native原生程序的能力，熟悉主流Android手机特性；6、熟悉动态、静态调试方法，熟练运用相关动静态调试工具。,"
 岗位职责：1、负责京东无人机Android平台的设计开发；2、负责产品技术创新，架构及性能优化；3、负责协同产品经理一起规划整个客户端的功能架构、交互体验；4、带领Android研发团队协同工作，快速迭代Android客户端的版本更新 任职要求：1、计算机相关专业本科以上学历，3年开发工作经验至少2年以上Android开发及安全分析经验；2、熟悉Android逆向工程，熟悉C/C++和Java开发，Smali、ARM指令集；3、熟悉常见的加密算法以及丰富的DEX、ELF加壳脱壳经验；4、熟悉常见的Android系统漏洞，并有一定的认识；5、精通Android框架，JNI，熟练运用NDK，具有独立编写Android应用程序和Native原生程序的能力，熟悉主流Android手机特性；6、熟悉动态、静态调试方法，熟练运用相关动静态调试工具。
",北森测试,移动互联网,外商独资,NULL, 301－500人,NULL,2018-1-2,http://www.chinahr.com/job/6239173575871748.html,中华英才网
大数据工程师,NULL,北京-朝阳区,全职,2年经验,本科,10000-20000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,商业保险,带薪年假,带薪病假,交通补贴,话费补贴,餐饮补贴,差旅补贴,定期体检,下午茶充足,节日福利,地处繁华商圈,更多,",岗位职责:、负责和参与公司大数据基础架构平台的运维，保障数据平台服务的稳定性和可用性；2、负责和参与超大规模数据存储与计算任务的精细化管理系统的设计，选型和开发；3、负责和参与大数据基础架构平台的监控、资源管理、数据流管理；4、负责和参与自动化运维系统及平台的建设；5、负责和参与基于数据分析的可预测的云平台弹性扩展解决方案。任职要求：1、掌握Linux操作系统的配置，管理及优化，能够独立排查及解决操作系统层的各类问题；2、掌握Hadoop、Kafka、Zookeeper、Hbase、Spark的安装与调试；3、掌握Scala语言，至少精通Python、Perl、Ruby、Bash脚本语言中的一种；4、有良好的系统性能优化及故障排除能力；5、熟悉Puppet、Chef、Ansible等配置管理工具；6、熟悉大数据周边相关的数据库系统，关系型数据库和NoSQL。,"
 岗位职责：1、负责和参与公司大数据基础架构平台的运维，保障数据平台服务的稳定性和可用性；2、负责和参与超大规模数据存储与计算任务的精细化管理系统的设计，选型和开发；3、负责和参与大数据基础架构平台的监控、资源管理、数据流管理；4、负责和参与自动化运维系统及平台的建设；5、负责和参与基于数据分析的可预测的云平台弹性扩展解决方案。任职要求：1、掌握 Linux 操作系统的配置，管理及优化，能够独立排查及解决操作系统层的各类问题；2、掌握 Hadoop、Kafka、Zookeeper、Hbase、Spark 的安装与调试；3、掌握Scala语言，至少精通 Python、Perl、Ruby、Bash 脚本语言中的一种；4、有良好的系统性能优化及故障排除能力；5、熟悉 Puppet、Chef、Ansible 等配置管理工具；6、熟悉大数据周边相关的数据库系统，关系型数据库和 NoSQL。
",北京融诚赛博企业管理咨询中心,咨询,民营私企,NULL, 20人以下,NULL,2018-1-2,http://www.chinahr.com/job/6396819759957509.html,中华英才网
大数据工程师,NULL,上海-静安区,全职,0年经验,大专,5000-8000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,带薪年假,晋升空间大,地处繁华商圈,办公装备高档,",岗位职责:、大专及以上学历，专业不限，对计算机开发感兴趣2、接收0基础求职者，从零培养，有资深的项目经理手把手带3、想从事一份稳定、高收入的行业。4、热爱互联网，喜欢IT行业工作，能在工作中不断学习有创新思维待遇：1、基本薪资5000起，另有项目奖金和提成；2、五险一金，双休、法定节假日，正常休息；3、提供宿舍，解决住房问题4、公司注重员工培养，给予晋升机会，管理层主要从基层员工中培养、提拔；注：公司项目组直招面试合格这可直接在本公司上岗薪资6000-80001、面试未通过者可通过公司的项目组安排的岗前项目实训学习，实训期间和研发部同步边学边做实训结束后优秀者可转正签订正式劳动合同2、实训期3个月有基础视情况而定,"
 任职要求：1、大专及以上学历，专业不限，对计算机开发感兴趣2、接收0基础求职者，从零培养，有资深的项目经理手把手带3、想从事一份稳定、高收入的行业。4、热爱互联网，喜欢IT行业工作，能在工作中不断学习有创新思维待遇：1、基本薪资5000起，另有项目奖金和提成；2、五险一金，双休、法定节假日，正常休息；3、提供宿舍，解决住房问题4、公司注重员工培养，给予晋升机会，管理层主要从基层员工中培养、提拔；注： 公司项目组直招 面试合格这可直接在本公司上岗 薪资6000-80001、面试未通过者 可通过公司的项目组安排的岗前项目实训学习，实训期间和研发部同步边学边做 实训结束后优秀者可转正签订正式劳动合同 2、实训期3个月 有基础视情况而定
",上海耀梁建筑装饰工程有限公司,建筑设计,民营私企,NULL, 101－300人,NULL,2017-10-26,http://www.chinahr.com/job/6230371073821702.html,中华英才网
大数据工程师,NULL,厦门-翔安区,全职,1年经验,硕士,8000-15000,NULL,NULL,"年终奖,带薪年假,五险一金,员工培训,节日福利,餐饮补贴,员工旅游,项目奖金,",岗位职责:）参与公司的医学大数据项目研发；2）阅读相关研究课题文献；3）人体微生物数据模型建模；任职要求：1）硕士及以上学历；计算机/数学/生物信息相关专业；2）有较好的数学功底和编程能力；3）熟悉C，python，matlab等至少一门编程语言，熟悉各类机器学习常用模型；4）熟悉Linux/Windows编程环境，有良好的代码调试能力；5）CET六级，具有良好的文献阅读能力。,"
 岗位职责：1）参与公司的医学大数据项目研发；2）阅读相关研究课题文献；3）人体微生物数据模型建模；任职要求：1）硕士及以上学历；计算机/数学/生物信息相关专业；2）有较好的数学功底和编程能力；3）熟悉C，python，matlab等至少一门编程语言，熟悉各类机器学习常用模型；4）熟悉 Linux/Windows 编程环境，有良好的代码调试能力；5）CET六级，具有良好的文献阅读能力。
",厦门安捷致善医学数据科技有限公司,"制药,生物工程",民营私企,NULL, 51－100人,NULL,2017-12-29,http://www.chinahr.com/job/6349240120806403.html,中华英才网
大数据工程师,NULL,上海-浦东新区,全职,2年经验,本科,10000-20000,NULL,NULL,"五险一金,差旅补贴,领导易相处,工作内容有趣,晋升空间大,",岗位职责:、本科以上学历；2、有hive或hbase经验；3、有事业心、有上进心、有责任心，有团队合作精神；4、能够出差。,"
 岗位职责：1、本科以上学历； 2、有hive或hbase经验； 3、有事业心、有上进心、有责任心，有团队合作精神； 4、能够出差。 
",企易共创（北京）科技有限公司,金融,股份制,NULL, 21－50人,NULL,2017-12-29,http://www.chinahr.com/job/6389337318722817.html,中华英才网
