职位名称,部门,工作地点,工作性质,经验,学历,薪资,专业要求,招聘人数,职位诱惑,岗位介绍,职位描述和职位要求,公司名称,公司行业,公司性质,融资阶段,公司规模,公司主页,发布日期,发布网站,原始URL
   实习生 （数据整理分析方向）,NULL,北京-海淀区,全职,在读经验,大专,1000-2000,NULL,NULL,"商业保险,",岗位职责:、负责对应区域的原始流向数据搜集，整理，清洗，标准化导入系统；2、协助完成主数据诸如人员，产品，门店，组织等标准化维护；3、与销售部，人资部门，沟通确认后，编制人员考核数据支持工作；4、编制基本进销存平衡分析协助对数据复核工作提供数据支持；任职要求：1、统计学、应用数学、数学、计算机科学与技术等相关专业；2、有较强沟通能力，理解能力较好；3、excel操作熟练；4、大三在学学生。,"
 岗位职责：1、负责对应区域的原始流向数据搜集，整理，清洗，标准化导入系统；2、协助完成主数据诸如人员，产品，门店，组织等标准化维护；3、与销售部，人资部门，沟通确认后，编制人员考核数据支持工作；4、编制基本进销存平衡分析协助对数据复核工作提供数据支持；任职要求：1、统计学、应用数学、数学、计算机科学与技术等相关专业；2、有较强沟通能力，理解能力较好；3、excel操作熟练；4、大三在学学生。
",北京澳特舒尔保健品开发有限公司,"食品,饮料,烟酒,日化",上市公司,NULL, 500人以上,NULL,2018-1-2,http://www.chinahr.com/job/5924837156326146.html,中华英才网
"  国企招java软件工程师+大数据 转正定岗生	 ",NULL,北京-海淀区,全职,0年经验,大专,7000-13000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,带薪年假,住房补贴,员工培训,节日福利,优秀人才多,晋升空间大,","岗位职责:中关村软件园与团中央中国青年职业能力培训基地(中青才智教育投资有限公司）合作设立的人才资源服务机构，同时也是清华大学慕课平台企业级软件课程伙伴，被教育部认定为国家级工程实践教育中心。基地承担着中关村软件园园区内300多家国际知名企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制式培养，入训学生学习结束，统一安排在园区工作，千载难逢，机会难得......一、Java大数据软件开发定岗委培工程师职位描述：在互联网时代，javaEE技术体系毫无疑问的成为了服务器端编程领域的王者，在未来新的业务领域有着更辉煌的发展前景，可以从事金融、互联网、电商、医疗等行业的核心软件系统开发。构建基于Hadoop、spark、Storm等大数据核心技术的商业支撑系统。任职要求：1、理工科专业包括：计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。3、入职前同意参加软件园统一组织的三到四个月的企业岗前项目实训，学习期间享受1500元的现金补助。待遇：入职起薪平均薪酬在6000元/月以上，第二年起薪高于8000元/月，签定正式劳动合同，享受国家规定的保险福利待遇。二、架构级JavaEE大数据+云计算定岗委培实习工程师职位描述：当今IT及ICT产业的趋势就是“云”和“端”，“云”就是云计算，当今最大的IT和ICT企业都是符合这个趋势，在“云”端建立服务器，而在“端”这边，通过iphone及ipad等设备访问云端；如：百度、腾讯、阿里巴巴等，他们毫无例外的主打“云”的解决方案，他们拥有互联网及移动互联网门户，也与之对应的建立了自己的数据中心；基地在对中关村软件园中大量的企业进行调研后，重磅推出“JavaEE架构师、大数据、云计算高薪课程，使学员可以顺利进入中国最顶级企业从事软件开发工作。任职要求：1、国家统招本科以上学历,通过国家英语四级等级考试，具备Javaweb、数据库开发基础者优先。2、普通专科，二年以上工作经验,参加远程测试，成绩合格者。项目介绍及待遇：学员在入职之前需参加一个月的大数据核心技术岗前强化训练，入职起薪不低于7000元/月；学员进入企业工作后，利用业余时间参加园区举办的在职人员专业技能提高班，在职带薪学习三个月，学习期满后，二次安置就业，二次就业薪资最低8000元/月起（薪资8000到16000元之间）。工作地址：北京中关村软件园","
 基地是由北京中关村软件园与团中央中国青年职业能力培训基地(中青才智教育投资有限公司）合作设立的人才资源服务机构，同时也是清华大学慕课平台企业级软件课程伙伴，被教育部认定为国家级工程实践教育中心 。基地承担着中关村软件园园区内300多家国际知名企业的人才培养、招聘的任务，本次招聘的岗位全部采用企业定制式培养，入训学生学习结束，统一安排在园区工作，千载难逢，机会难得......一、Java大数据软件开发定岗委培工程师职位描述：在互联网时代，javaEE技术体系毫无疑问的成为了服务器端编程领域的王者，在未来新的业务领域有着更辉煌的发展前景，可以从事金融、互联网、电商、医疗等行业的核心软件系统开发。构建基于Hadoop、spark、Storm等大数据核心技术的商业支撑系统。任职要求：1、理工科专业包括：计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电等。2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。3、入职前同意参加软件园统一组织的三到四个月的企业岗前项目实训，学习期间享受1500元的现金补助。待遇：入职起薪平均薪酬在6000元/月以上，第二年起薪高于8000元/月，签定正式劳动合同，享受国家规定的保险福利待遇。 二、架构级JavaEE大数据+云计算定岗委培实习工程师职位描述：当今IT及ICT产业的趋势就是“云”和“端”，“云”就是云计算，当今最大的IT和ICT企业都是符合这个趋势，在“云”端建立服务器，而在“端”这边，通过iphone及ipad等设备访问云端；如：百度、腾讯、阿里巴巴等，他们毫无例外的主打“云”的解决方案，他们拥有互联网及移动互联网门户，也与之对应的建立了自己的数据中心；基地在对中关村软件园中大量的企业进行调研后，重磅推出“JavaEE架构师、大数据、云计算高薪课程，使学员可以顺利进入中国最顶级企业从事软件开发工作。任职要求：1、国家统招本科以上学历,通过国家英语四级等级考试，具备Java web、数据库开发基础者优先。2、普通专科，二年以上工作经验,参加远程测试，成绩合格者。项目介绍及待遇：学员在入职之前需参加一个月的大数据核心技术岗前强化训练，入职起薪不低于7000元/月；学员进入企业工作后，利用业余时间参加园区举办的在职人员专业技能提高班，在职带薪学习三个月，学习期满后，二次安置就业，二次就业薪资最低8000元/月起（薪资8000到16000元之间）。工作地址：北京中关村软件园 
",中青才智教育投资（北京）有限公司,计算机软件,事业单位,NULL, 500人以上,NULL,2018-1-2,http://www.chinahr.com/job/5921111321283329.html,中华英才网
 大数据营销分析师实习生,NULL,东莞-南城区,全职,1年经验,中职,2800-5000,NULL,NULL,"五险一金,绩效奖金,免费班车,工作内容有趣,",岗位职责:1、陪各种有趣的人聊天，在聊天中依靠平台大数据分析解决问题，为人有趣，是个不错的优势。2、喜欢接触新鲜事物的人，人要保有好奇之心才能一直青春。3、不经常加班，前提是你没有拖延症。4、薪资不是问题，问题你有没有能力争取。5、出国游的机会还不少，所以你可以提前办好护照6、科技园区提供住宿，不想为住处租房烦恼的你可以不用担心7、工作时间，一周六天班，朝九晚六，法定假日正常休职位要求（毕业季到了，特别欢迎新鲜出炉的学弟学妹，这里有你们玩得风声水起的学长学姐）：大数据营销实习生10名1、积极向上，有亲和力。2、性格活泼开朗，善于通过微信、QQ、电话与人沟通。3、敢于挑战高薪。4、不限专业，计算机、电子商务、市场营销、国际贸易相关专业优先培养5、哦，对了，如果你还玩不转微信，来面试前赶快恶补一下大数据营销这个职位是最具生产力、创造力、甚至是魔力的比如停工在家当了9年家庭煮妇，对外界信息已经滞后很多、入职时不会用微信花姐，在职10个月的时间，月均收入6.5K以上，并拿到年终韩国游的奖励。花姐说，最初，我只是告诉自己一定不要进工厂，我需要一份可以赚钱的工作，靠谱啊。比如刚满18岁的电大中职实习生陈丹盈，在半年的时间内突破月收入过万，并摘下桂冠，业余时间排练她喜欢的现代舞，年会拿下最佳表演节目奖，受邀代表公司参加大客户的年会演出，引爆年会现场。丹盈说这就是她喜欢的生活：帮不同的创业、守业人员分析数据，提供方案，跳跳舞，挺好。如果你也心动，如果你也想跟她们成为同事，你也会有不一样的故事。来吧，简历投递应聘后最好电话确认面试时间（每天接收邮件比较多）最后，南城财富广场B座12楼1201-1202-1203室，旁边有凯德广场、有好多好吃的，晚上不用上班（前提是你没有拖延症），下班就可以去浪，是不是很美好的生活呢，快投简历加入我们吧!,"
 我们要的人：1、陪各种有趣的人聊天，在聊天中依靠平台大数据分析解决问题，为人有趣，是个不错的优势。2、喜欢接触新鲜事物的人，人要保有好奇之心才能一直青春。3、不经常加班，前提是你没有拖延症。4、薪资不是问题，问题你有没有能力争取。5、出国游的机会还不少，所以你可以提前办好护照6、科技园区提供住宿，不想为住处租房烦恼的你可以不用担心7、工作时间，一周六天班，朝九晚六，法定假日正常休职位要求（毕业季到了，特别欢迎新鲜出炉的学弟学妹，这里有你们玩得风声水起的学长学姐）：大数据营销实习生10名 1、积极向上，有亲和力。 2、性格活泼开朗，善于通过微信、QQ、电话与人沟通。 3、敢于挑战高薪。4、不限专业，计算机、电子商务、市场营销、国际贸易相关专业优先培养5、哦，对了，如果你还玩不转微信，来面试前赶快恶补一下大数据营销这个职位是最具生产力、创造力、甚至是魔力的比如停工在家当了9年家庭煮妇，对外界信息已经滞后很多、入职时不会用微信花姐，在职10个月的时间，月均收入6.5K以上，并拿到年终韩国游的奖励。花姐说，最初，我只是告诉自己一定不要进工厂，我需要一份可以赚钱的工作，靠谱啊。比如刚满18岁的电大中职实习生陈丹盈，在半年的时间内突破月收入过万，并摘下桂冠，业余时间排练她喜欢的现代舞，年会拿下最佳表演节目奖，受邀代表公司参加大客户的年会演出，引爆年会现场。丹盈说这就是她喜欢的生活：帮不同的创业、守业人员分析数据，提供方案，跳跳舞，挺好。如果你也心动，如果你也想跟她们成为同事，你也会有不一样的故事。来吧，简历投递应聘后最好电话确认面试时间（每天接收邮件比较多）最后， 南城财富广场B座12楼1201-1202-1203室，旁边有凯德广场、有好多好吃的，晚上不用上班（前提是你没有拖延症），下班就可以去浪，是不是很美好的生活呢，快投简历加入我们吧!
",东莞天助网络信息技术有限公司,"运营商,增值服务",股份制,NULL, 21－50人,NULL,2017-12-30,http://www.chinahr.com/job/6397263787134464.html,中华英才网
 大数据营销分析师实习生,NULL,东莞-南城区,全职,1年经验,中职,2800-5000,NULL,NULL,"五险一金,绩效奖金,免费班车,工作内容有趣,",岗位职责:、陪各种有趣的人聊天，在聊天中依靠平台大数据分析解决问题，为人有趣，是个不错的优势。2、喜欢接触新鲜事物的人，人要保有好奇之心才能一直青春。3、不经常加班，前提是你没有拖延症。4、薪资不是问题，问题你有没有能力争取。5、出国游的机会还不少，所以你可以提前办好护照6、科技园区提供住宿，不想为住处租房烦恼的你可以不用担心7、工作时间，一周六天班，朝九晚六，法定假日正常休职位要求（毕业季到了，特别欢迎新鲜出炉的学弟学妹，这里有你们玩得风声水起的学长学姐）：大数据营销实习生10名1、积极向上，有亲和力。2、性格活泼开朗，善于通过微信、QQ、电话与人沟通。3、敢于挑战高薪。4、不限专业，计算机、电子商务、市场营销、国际贸易相关专业优先培养5、哦，对了，如果你还玩不转微信，来面试前赶快恶补一下大数据营销这个职位是最具生产力、创造力、甚至是魔力的比如停工在家当了9年家庭煮妇，对外界信息已经滞后很多、入职时不会用微信花姐，在职10个月的时间，月均收入6.5K以上，并拿到年终韩国游的奖励。花姐说，最初，我只是告诉自己一定不要进工厂，我需要一份可以赚钱的工作，靠谱啊。比如刚满18岁的电大中职实习生陈丹盈，在半年的时间内突破月收入过万，并摘下桂冠，业余时间排练她喜欢的现代舞，年会拿下最佳表演节目奖，受邀代表公司参加大客户的年会演出，引爆年会现场。丹盈说这就是她喜欢的生活：帮不同的创业、守业人员分析数据，提供方案，跳跳舞，挺好。如果你也心动，如果你也想跟她们成为同事，你也会有不一样的故事。来吧，简历投递应聘后最好电话确认面试时间（每天接收邮件比较多）最后，南城财富广场B座12楼1201-1202-1203室，旁边有凯德广场、有好多好吃的，晚上不用上班（前提是你没有拖延症），下班就可以去浪，是不是很美好的生活呢，快投简历加入我们吧!,"
 人才招聘：1、陪各种有趣的人聊天，在聊天中依靠平台大数据分析解决问题，为人有趣，是个不错的优势。2、喜欢接触新鲜事物的人，人要保有好奇之心才能一直青春。3、不经常加班，前提是你没有拖延症。4、薪资不是问题，问题你有没有能力争取。5、出国游的机会还不少，所以你可以提前办好护照6、科技园区提供住宿，不想为住处租房烦恼的你可以不用担心7、工作时间，一周六天班，朝九晚六，法定假日正常休职位要求（毕业季到了，特别欢迎新鲜出炉的学弟学妹，这里有你们玩得风声水起的学长学姐）：大数据营销实习生10名 1、积极向上，有亲和力。 2、性格活泼开朗，善于通过微信、QQ、电话与人沟通。 3、敢于挑战高薪。4、不限专业，计算机、电子商务、市场营销、国际贸易相关专业优先培养5、哦，对了，如果你还玩不转微信，来面试前赶快恶补一下大数据营销这个职位是最具生产力、创造力、甚至是魔力的比如停工在家当了9年家庭煮妇，对外界信息已经滞后很多、入职时不会用微信花姐，在职10个月的时间，月均收入6.5K以上，并拿到年终韩国游的奖励。花姐说，最初，我只是告诉自己一定不要进工厂，我需要一份可以赚钱的工作，靠谱啊。比如刚满18岁的电大中职实习生陈丹盈，在半年的时间内突破月收入过万，并摘下桂冠，业余时间排练她喜欢的现代舞，年会拿下最佳表演节目奖，受邀代表公司参加大客户的年会演出，引爆年会现场。丹盈说这就是她喜欢的生活：帮不同的创业、守业人员分析数据，提供方案，跳跳舞，挺好。如果你也心动，如果你也想跟她们成为同事，你也会有不一样的故事。来吧，简历投递应聘后最好电话确认面试时间（每天接收邮件比较多）最后， 南城财富广场B座12楼1201-1202-1203室，旁边有凯德广场、有好多好吃的，晚上不用上班（前提是你没有拖延症），下班就可以去浪，是不是很美好的生活呢，快投简历加入我们吧!
",东莞天助网络信息技术有限公司,"运营商,增值服务",股份制,NULL, 21－50人,NULL,2017-12-30,http://www.chinahr.com/job/6400296010483200.html,中华英才网
 大数据营销顾问,NULL,东莞-南城区,全职,0年经验,中技,2800-5000,NULL,NULL,"五险一金,绩效奖金,免费班车,工作内容有趣,",岗位职责:售代表客户代表电话销售如果，您不忍心蜗居在不到10平米的小屋里；您不忍心看着自己的女（男）友和你奋斗一辈子还供不起一套房；您不忍心看着你父母缩衣节食把仅有的一点养老金帮你还房贷；快到碗里来！1、对电商(电子商务)的向往力像追星那般热情；2、不甘于平凡，有改变命运，挑战高薪的决心和信心；3、目标明确，锲而不舍，永不服输；4、有较强的团队合作意识，能快速融入团队，与团队一起奋斗；5、愿意付出，懂得感恩；（毕业季到了，格外欢迎新鲜出炉的学弟学妹）,"
 职位类别：销售代表 客户代表 电话销售如果，您不忍心蜗居在不到10平米的小屋里； 您不忍心看着自己的女（男）友和你奋斗一辈子还供不起一套房； 您不忍心看着你父母缩衣节食把仅有的一点养老金帮你还房贷； 快到碗里来！1、对电商(电子商务)的向往力像追星那般热情；2、不甘于平凡，有改变命运，挑战高薪的决心和信心；3、目标明确，锲而不舍，永不服输；4、有较强的团队合作意识，能快速融入团队，与团队一起奋斗；5、愿意付出，懂得感恩；（毕业季到了，格外欢迎新鲜出炉的学弟学妹）
",东莞天助网络信息技术有限公司,"运营商,增值服务",股份制,NULL, 21－50人,NULL,2017-12-30,http://www.chinahr.com/job/6397259234708992.html,中华英才网
 数据分析实习生,NULL,上海-徐汇区,全职,0年经验,大专,4500-7000,NULL,NULL,"项目奖金,五险一金,商业保险,带薪年假,交通补贴,定期体检,员工旅游,地处繁华商圈,晋升空间大,",岗位职责:、对该平台的产品、运营、市场数据进行监测、统计、异常分析；2、协助数据分析师完成数据清理、产品数据评估等工作。任职要求：1、专科及以上学历，应用数学、统计学、计算机或相关理工科专业，2017、2018届；2、熟悉和热爱互联网领域，有良好的数据敏感度；3、良好的沟通表达能力，能够进行跨团队的协调沟通；4、具备强烈的进取心和良好的团队合作精神。,"
 岗位职责：1、 对该平台的产品、运营、市场数据进行监测、统计、异常分析；2、协助数据分析师完成数据清理、产品数据评估等工作。任职要求：1、专科及以上学历，应用数学、统计学、计算机或相关理工科专业，2017、2018届；2、熟悉和热爱互联网领域，有良好的数据敏感度；3、良好的沟通表达能力，能够进行跨团队的协调沟通；4、 具备强烈的进取心和良好的团队合作精神。
",上海茁云科技服务有限公司,移动互联网,民营私企,NULL, 500人以上,NULL,2017-12-25,http://www.chinahr.com/job/6275058833787907.html,中华英才网
 数据库管理员3K起 ,NULL,苏州 沧浪-NULL,全职,0年经验,大专,3000-5000,NULL,NULL,"五险一金,带薪年假,餐饮补贴,地处繁华商圈,员工培训,节日福利,",岗位职责:.有无相关工作经验均可，可接受应届生；2.性格开朗、积极上进、责任心强，沟通能力强，具备团队合作精神；3.做事严谨踏实，责任心强，善于学习总结以及分析、解决能力；4.能尽快入职者；5.年龄18-28岁，超龄勿扰。工作时间：9:00-18:00午休1小时岗位待遇：1.入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助）2.国家法定节假日、周六日双休、带薪年假等3.待遇优厚，五险一金，双休，法定假日。4.薪酬=基本工资+绩效奖金+五险一金+餐补+房补,"
 职位要求：1.有无相关工作经验均可，可接受应届生；2.性格开朗、积极上进、责任心强，沟通能力强，具备团队合作精神；3.做事严谨踏实，责任心强，善于学习总结以及分析、解决能力；4.能尽快入职者；5.年龄18-28岁，超龄勿扰。工作时间：9:00-18:00 午休1小时岗位待遇 ：1.入职签订劳动合同、五险一金、三奖三补（三奖：年终奖、满勤奖、本岗位绩效奖；三补：通讯补助，通勤补助、伙食补助）2.国家法定节假日、周六日双休、带薪年假等3.待遇优厚，五险一金，双休，法定假日。4.薪酬=基本工资+绩效奖金+五险一金+餐补+房补
",苏州达内信息科技有限公司,计算机软件,上市公司,NULL, 500人以上,NULL,2018-1-3,http://www.chinahr.com/job/6151234738228227.html,中华英才网
 数据库开发工程师+五险一金,NULL,广州-天河区,全职,0年经验,中专,4000-6000,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,下午茶充足,节日福利,员工旅游,工作内容有趣,办公装备高档,帅哥美女多,",岗位职责:1、数据库设计：参与项目需求分析、总体设计，建立数据分析模型，保证数据库开发的规范性；2、数据库开发：根据模型设计，进行数据处理脚本的编写及相关报表开发；3、数据库支持与优化：为项目开发、测试提供数据库相关支持，负责对数据库性能优化、应用优化4、达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划。岗位要求：1）熟悉或热爱电信、互联网行业，有无经验均可；2）对流量变现、大数据、数据挖掘等领域有浓厚兴趣，公司免费培养；3）有计算机、互联网等实习经历的优先考虑4）熟悉公司管理系统及数据统计的优先考虑；福利待遇：1、签订劳动合同，公司为员工购买五险一金，享受国家规定的保险福利待遇；2、薪资结构：底薪+绩效奖金+项目提成+项目奖金+社会福利+其他补贴等，试用期1-3个月，转正后享有平均月薪范围4000-5000元；3、上班时间：9:00-18:00，中午休息两小时，周末双休，不加班，享受国家法定节假日，上下班交通便利，珠村BRT就在公司旁；4、定期组织员工参加户外活动、体育比赛等业余活动，丰富员工的工作生活；5、良好的晋升机制，广阔的晋升空间；6、工作环境舒适，单身帅哥美女多，有下午茶等。公司地址：广州市天河区中山大道中珠村BRT旁盈富大厦4楼乘车路线：附近地铁4号线车陂D出口，转坐B1/B17/B27/B5/B16公交到珠村站下。我们乐于交流宝贵经验、倾听个人心声、保证职员福利、共同学习进步！我们等待着有梦想、有动力的新生力到来！未满18周岁，请勿投递！,"
 工作职责： 1、数据库设计：参与项目需求分析、总体设计，建立数据分析模型，保证数据库开发的规范性； 2、数据库开发：根据模型设计，进行数据处理脚本的编写及相关报表开发； 3、数据库支持与优化：为项目开发、测试提供数据库相关支持，负责对数据库性能优化、应用优化 4、达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划。岗位要求： 1）熟悉或热爱电信、互联网行业，有无经验均可； 2）对流量变现、大数据、数据挖掘等领域有浓厚兴趣，公司免费培养； 3）有计算机、互联网等实习经历的优先考虑4）熟悉公司管理系统及数据统计的优先考虑；福利待遇：1、签订劳动合同，公司为员工购买五险一金，享受国家规定的保险福利待遇；2、薪资结构：底薪+绩效奖金+项目提成+项目奖金+社会福利+其他补贴等，试用期1-3个月，转正后享有平均月薪范围4000-5000元；3、上班时间：9:00-18:00，中午休息两小时，周末双休，不加班，享受国家法定节假日，上下班交通便利，珠村BRT就在公司旁；4、定期组织员工参加户外活动、体育比赛等业余活动，丰富员工的工作生活；5、良好的晋升机制，广阔的晋升空间；6、工作环境舒适，单身帅哥美女多，有下午茶等。公司地址：广州市天河区中山大道中珠村BRT旁盈富大厦4楼乘车路线：附近地铁4号线车陂D出口，转坐B1/B17/B27/B5/B16公交到珠村站下。我们乐于交流宝贵经验、倾听个人心声、保证职员福利、共同学习进步！我们等待着有梦想、有动力的新生力到来！未满18周岁，请勿投递！
",广州优才创智,移动互联网,股份制,NULL, 51－100人,NULL,2017-12-22,http://www.chinahr.com/job/6162408498629895.html,中华英才网
 数据库开发实习生（双休/五险一金）,NULL,广州-天河区,全职,0年经验,中专,3500-5500,NULL,NULL,"年终奖,绩效奖金,项目奖金,五险一金,下午茶充足,节日福利,员工旅游,工作内容有趣,办公装备高档,帅哥美女多,","岗位职责:、软件的数据开发工作,存储过程开发、数据调试、数据迁移、数据备份等。2、项目的数据初始化工作，使用公司开发系统进行报表和报告的配置。3、了解岗位范围内的硬件、软件、网络的状况，数据库维护或更新计划、确保正常使用。4、达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划。任职要求：1、大专及以上学历，无经验要求，接受应届生。2、具备一定的计算机软件知识，熟悉EXCEl办公软件的使用技能。3、具有良好的沟通协调能力和较强的客户服务意识。4、认真负责，吃苦耐劳，有较强的团队合作能力。福利待遇：1、签订劳动合同，公司为员工购买五险一金，享受国家规定的保险福利待遇；2、薪资结构：底薪+绩效奖金+项目提成+项目奖金+社会福利+其他补贴等，试用期1-3个月，转正后按照学历评定薪资，大专底薪4K，本科底薪5K；3、上班时间：9:00-18:00，中午休息两小时，周末双休，不加班，享受国家法定节假日，上下班交通便利，珠村BRT就在公司旁；4、定期组织员工参加户外活动、体育比赛等业余活动，丰富员工的工作生活；5、良好的晋升机制，广阔的晋升空间；6、工作环境舒适，单身帅哥美女多，有下午茶等。公司地址：广州市天河区中山大道中珠村BRT旁盈富大厦4楼乘车路线：附近地铁4号线车陂D出口，转坐B1/B17/B27/B5/B16公交到珠村站下。我们乐于交流宝贵经验、倾听个人心声、保证职员福利、共同学习进步！我们等待着有梦想、有动力的新生力到来！注：未满18周岁，请勿投递！","
 岗位职责：1、软件的数据开发工作,存储过程开发、数据调试、数据迁移、数据备份等。2、项目的数据初始化工作，使用公司开发系统进行报表和报告的配置。3、了解岗位范围内的硬件、软件、网络的状况，数据库维护或更新计划、确保正常使用。4、达不到公司招聘技术要求的应聘者，可自愿选择是否参加公司提供的岗前技能提升计划。任职要求：1、大专及以上学历，无经验要求，接受应届生。2、具备一定的计算机软件知识，熟悉EXCEl办公软件的使用技能。3、具有良好的沟通协调能力和较强的客户服务意识。4、认真负责，吃苦耐劳，有较强的团队合作能力。福利待遇：1、签订劳动合同，公司为员工购买五险一金，享受国家规定的保险福利待遇；2、薪资结构：底薪+绩效奖金+项目提成+项目奖金+社会福利+其他补贴等，试用期1-3个月，转正后按照学历评定薪资，大专底薪4K，本科底薪5K；3、上班时间：9:00-18:00，中午休息两小时，周末双休，不加班，享受国家法定节假日，上下班交通便利，珠村BRT就在公司旁；4、定期组织员工参加户外活动、体育比赛等业余活动，丰富员工的工作生活；5、良好的晋升机制，广阔的晋升空间；6、工作环境舒适，单身帅哥美女多，有下午茶等。 公司地址：广州市天河区中山大道中珠村BRT旁盈富大厦4楼乘车路线：附近地铁4号线车陂D出口，转坐B1/B17/B27/B5/B16公交到珠村站下。 我们乐于交流宝贵经验、倾听个人心声、保证职员福利、共同学习进步！我们等待着有梦想、有动力的新生力到来！ 注：未满18周岁，请勿投递！
",广州优才创智,移动互联网,股份制,NULL, 51－100人,NULL,2017-12-22,http://www.chinahr.com/job/6255252143868935.html,中华英才网
（6.5k起）数据挖掘（Java基础）,NULL,深圳-南山区,全职,0年经验,大专,4000-7000,NULL,NULL,"五险一金,绩效奖金,弹性工作,餐饮补贴,带薪年假,带薪病假,员工旅游,晋升空间大,办公室漂亮,地处繁华商圈,住房补贴,节日福利,更多,",岗位职责:岗位职责：1、从事行业数据搜集、整理、分析，并依据数据做出行业研究、评估和预测；2、建立数据挖掘类项目的方法论；3、负责数据挖掘类项目的建模。任职要求：1、大专及以上学历，应往届亦可。2、具有统计学、数据挖掘相关知识，熟悉数据挖掘方法论优先；3、扎实的数学功底，良好的逻辑分析力，沟通能力和表达能力；4、刻苦努力勤奋，并具有良好的团队合作精神。5、对R语言熟悉的优先考虑。,"
 职位描述： 岗位职责： 1、从事行业数据搜集、整理、分析，并依据数据做出行业研究、评估和预测； 2、建立数据挖掘类项目的方法论； 3、负责数据挖掘类项目的建模。 任职要求： 1、大专及以上学历，应往届亦可。2、具有统计学、数据挖掘相关知识，熟悉数据挖掘方法论优先； 3、扎实的数学功底，良好的逻辑分析力，沟通能力和表达能力； 4、刻苦努力勤奋，并具有良好的团队合作精神。 5、对R语言熟悉的优先考虑。 
",深圳云通互联信息技术有限公司,企业服务,民营私企,NULL, 101－300人,NULL,2018-1-3,http://www.chinahr.com/job/6151403350002946.html,中华英才网
